Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Son Heung-min,7.0,FW,33-338,68,0,0,0,0,6,1,0,0,0,2,1,2,0,0,0,0,0,92e7e919,473f0fbf,beebb792
Oh Hyeon-gyu,18.0,FW,25-060,22,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,d25422fb,473f0fbf,beebb792
Lee Jae-sung,10.0,FW,33-305,61,0,0,0,0,2,1,0,0,1,2,0,0,0,2,0,0,0,34b0387f,473f0fbf,beebb792
Hwang Hee-chan,11.0,"FW,MF",30-136,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,169fd162,473f0fbf,beebb792
Lee Kang-in,19.0,FW,25-112,90,0,1,0,0,1,1,0,0,0,4,0,3,0,0,0,0,0,8455ad90,473f0fbf,beebb792
Lee Tae-seok,13.0,LM,23-318,68,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,32257cce,473f0fbf,beebb792
Eom Ji-sung,25.0,MF,24-033,22,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3a049da1,473f0fbf,beebb792
Paik Seung-ho,8.0,CM,29-086,83,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1e1bea09,473f0fbf,beebb792
Park Jinseob,16.0,"DF,MF",30-231,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3316967a,473f0fbf,beebb792
Hwang In-beom,6.0,CM,29-264,83,1,1,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,92fa5d28,473f0fbf,beebb792
Kim Jin-gyu,24.0,MF,29-107,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7c0479b1,473f0fbf,beebb792
Seol Young-woo,22.0,RM,27-188,90,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,8e577e1d,473f0fbf,beebb792
Lee Gi-hyuk,3.0,CB,25-339,90,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,18c8c3c7,473f0fbf,beebb792
Kim Min-jae,4.0,CB,29-208,90,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,e0f8151c,473f0fbf,beebb792
Lee Han-beom,2.0,CB,23-359,90,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,071f2dd3,473f0fbf,beebb792
Kim Seung-gyu,1.0,GK,35-254,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eabaafa6,473f0fbf,beebb792
Patrik Schick,10.0,FW,30-138,63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5d4f7d61,2740937c,beebb792
Tomáš Chorý,19.0,FW,31-136,27,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,163bbd4a,2740937c,beebb792
Lukáš Provod,17.0,FW,29-231,63,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,0,8f21b7bd,2740937c,beebb792
Michal Sadílek,18.0,"DF,FW",27-011,27,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,7c9fa389,2740937c,beebb792
Pavel Šulc,15.0,FW,25-164,63,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,e9b893af,2740937c,beebb792
Adam Hložek,9.0,"FW,MF",23-321,27,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,5521f419,2740937c,beebb792
Jaroslav Zelený,20.0,LM,33-295,90,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,bc647827,2740937c,beebb792
Alexandr Sojka,24.0,CM,23-070,83,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,765b7bfc,2740937c,beebb792
Mojmír Chytil,13.0,FW,27-043,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,01a08323,2740937c,beebb792
Tomáš Souček,22.0,CM,31-104,90,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,6613c819,2740937c,beebb792
Vladimír Coufal,5.0,RM,33-293,90,0,1,0,0,0,0,0,0,3,1,0,6,0,1,0,0,0,fdf3cb77,2740937c,beebb792
Ladislav Krejčí,7.0,CB,27-052,90,1,0,0,0,1,1,0,0,3,1,0,1,2,0,0,0,0,5b5c2228,2740937c,beebb792
Robin Hranáč,4.0,CB,26-133,90,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,95d5aea2,2740937c,beebb792
Štěpán Chaloupek,6.0,CB,23-095,90,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,ded82b9a,2740937c,beebb792
Matej Kovar,1.0,GK,26-025,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bc67a0e1,2740937c,beebb792
