Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Kylian Mbappé,10.0,FW,27-201,76,1,1,0,1,4,2,0,0,0,2,0,1,0,0,0,0,0,42fd9c7f,b1b36dcd,c069f408
Jean-Philippe Mateta,22.0,FW,29-011,14,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,50e6dc35,b1b36dcd,c069f408
Désiré Doué,20.0,AM,21-036,76,0,1,0,0,3,2,0,0,2,1,0,1,2,1,0,0,0,9e7483ff,b1b36dcd,c069f408
Bradley Barcola,12.0,"FW,MF",23-310,14,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,a0d55a09,b1b36dcd,c069f408
Michael Olise,11.0,AM,24-209,90,0,0,0,0,3,0,0,0,0,4,0,1,1,2,0,0,0,c4486bac,b1b36dcd,c069f408
Ousmane Dembélé,7.0,AM,29-055,90,1,0,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,b19db005,b1b36dcd,c069f408
Adrien Rabiot,14.0,DM,31-097,90,0,0,0,0,1,0,0,0,2,1,0,1,1,3,0,0,0,8794e251,b1b36dcd,c069f408
Manu Koné,6.0,DM,25-053,70,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,86574238,b1b36dcd,c069f408
Warren Zaïre-Emery,18.0,"DF,MF",20-123,20,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,6b9960cf,b1b36dcd,c069f408
Lucas Digne,3.0,LB,32-354,90,0,0,0,0,1,0,0,0,1,0,0,3,1,1,0,0,0,1b84dbe1,b1b36dcd,c069f408
William Saliba,17.0,CB,25-107,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,972aeb2a,b1b36dcd,c069f408
Dayot Upamecano,4.0,CB,27-255,90,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,d248cd8f,b1b36dcd,c069f408
Jules Koundé,5.0,RB,27-239,86,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,4d1666ff,b1b36dcd,c069f408
Malo Gusto,2.0,"DF,MF",23-051,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d56b9520,b1b36dcd,c069f408
Mike Maignan,16.0,GK,31-006,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fcb38f57,b1b36dcd,c069f408
Bilal El Khannouss,23.0,FW,22-060,61,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,f7042636,af41ccda,c069f408
Soufiane Rahimi,9.0,FW,30-037,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f126a259,af41ccda,c069f408
Chemsdine Talbi,7.0,AM,21-061,84,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,47ce793b,af41ccda,c069f408
Amine Sbai,17.0,"FW,MF",25-246,6,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,bafbe06a,af41ccda,c069f408
Azzedine Ounahi,8.0,AM,26-081,90,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,83299cc0,af41ccda,c069f408
Brahim Díaz,10.0,AM,26-340,73,0,0,0,0,1,0,0,0,0,2,0,2,0,2,0,0,0,407feb71,af41ccda,c069f408
Gessime Yassine,16.0,MF,20-229,17,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,f5ccae19,af41ccda,c069f408
Neil El Aynaoui,24.0,DM,25-007,90,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,17e1261b,af41ccda,c069f408
Ayyoub Bouaddi,6.0,DM,18-280,61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8006228f,af41ccda,c069f408
Sofyan Amrabat,4.0,"DF,MF",29-322,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5a2cb25d,af41ccda,c069f408
Anass Salah-Eddine,26.0,LB,24-172,73,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0d274394,af41ccda,c069f408
Zakaria El Ouahdi,13.0,"DF,MF",24-190,17,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,a3d79d3c,af41ccda,c069f408
Noussair Mazraoui,3.0,CB,28-237,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,b74277a0,af41ccda,c069f408
Issa Diop,14.0,CB,29-181,90,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,a712ca2b,af41ccda,c069f408
Achraf Hakimi,2.0,RB,27-247,90,0,0,0,0,1,0,0,0,1,2,0,5,1,0,0,0,0,e42d61c7,af41ccda,c069f408
Yassine Bounou,1.0,GK,35-095,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f6798fc3,af41ccda,c069f408
