Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Mikel Oyarzabal,21.0,FW,29-055,90,0,0,0,0,5,1,0,0,0,0,0,1,1,0,0,0,0,8c3c640c,b561dd30,c100284d
Gavi,9.0,FW,21-314,70,0,0,0,0,1,0,0,0,2,0,0,2,2,1,0,0,0,19cae58d,b561dd30,c100284d
Lamine Yamal,19.0,"FW,MF",18-337,20,0,0,0,0,2,0,0,0,1,0,0,7,0,0,0,0,0,82ec26c1,b561dd30,c100284d
Ferrán Torres,7.0,FW,26-106,80,0,0,0,0,4,1,0,0,2,0,0,4,0,0,0,0,0,9e1035f8,b561dd30,c100284d
Dani Olmo,10.0,"FW,MF",28-039,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ae44e8e2,b561dd30,c100284d
Pedri,20.0,CM,23-202,90,0,0,0,0,2,1,1,0,1,0,1,11,2,1,0,0,0,0d9b2d31,b561dd30,c100284d
Fabián Ruiz Peña,8.0,CM,30-073,70,0,0,0,0,5,1,0,0,0,0,0,2,1,1,0,0,0,c0c7ff58,b561dd30,c100284d
Mikel Merino,6.0,MF,29-358,20,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,d080ed5e,b561dd30,c100284d
Rodri,16.0,DM,29-358,86,0,0,0,0,2,0,0,0,1,0,0,2,2,0,0,0,0,6434f10d,b561dd30,c100284d
Nico Williams,17.0,MF,23-338,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,afdc14d7,b561dd30,c100284d
Marc Cucurella,24.0,LB,27-328,90,0,0,0,0,2,1,0,0,1,0,1,4,1,0,0,0,0,1daec722,b561dd30,c100284d
Aymeric Laporte,14.0,CB,32-019,90,0,0,0,0,2,1,0,0,0,0,0,1,0,2,0,0,0,119b9a8e,b561dd30,c100284d
Pau Cubarsí,22.0,CB,19-144,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,cc7888f3,b561dd30,c100284d
Marcos Llorente,5.0,RB,31-136,90,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,02c15616,b561dd30,c100284d
Unai Simón,23.0,GK,29-004,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5dcf3e90,b561dd30,c100284d
Dailon Livramento,19.0,FW,25-042,60,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,c115db1e,31fa6fa6,c100284d
Nuno da Costa,21.0,"FW,MF",35-125,30,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,909222de,31fa6fa6,c100284d
Jovane Cabral,7.0,FW,28-001,60,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,e34e086c,31fa6fa6,c100284d
Willy Semedo,17.0,"FW,MF",32-049,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,d1edc98f,31fa6fa6,c100284d
Ryan Mendes,20.0,FW,36-158,90,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,ba6e01ab,31fa6fa6,c100284d
Jamiro Monteiro,10.0,CM,32-204,78,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,d384bddd,31fa6fa6,c100284d
Telmo Arcanjo,18.0,MF,24-359,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,c692cef2,31fa6fa6,c100284d
Laros Duarte,15.0,CM,29-107,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4af3d3c8,31fa6fa6,c100284d
Deroy Duarte,14.0,MF,26-346,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6af8fc5b,31fa6fa6,c100284d
Kevin Pina,6.0,DM,29-139,90,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,296026ae,31fa6fa6,c100284d
Sidny Lopes Cabral,13.0,LB,23-270,75,0,0,0,0,0,0,1,0,1,2,0,1,1,3,0,0,0,20700569,31fa6fa6,c100284d
João Paulo Fernandes,8.0,"DF,MF",28-020,15,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,afcac9da,31fa6fa6,c100284d
Diney,3.0,CB,31-149,90,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,d2e33ba2,31fa6fa6,c100284d
Pico,4.0,CB,33-363,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,faef0f92,31fa6fa6,c100284d
Steven Moreira,22.0,RB,31-306,90,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,f10983ae,31fa6fa6,c100284d
Vozinha,1.0,GK,40-012,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,dc04ac24,31fa6fa6,c100284d
