Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Evidence Makgopa,17.0,FW,26-023,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4d76d03b,506f1741,c4104726
Iqraam Rayners,15.0,"FW,MF",30-191,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,190b0d5e,506f1741,c4104726
Oswin Appollis,7.0,AM,24-307,90,0,0,0,0,2,0,0,0,0,1,0,3,1,1,0,0,0,e8933eb0,506f1741,c4104726
Relebohile Mofokeng,10.0,AM,21-248,45,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,25c3fb97,506f1741,c4104726
Thalente Mbatha,5.0,MF,26-104,45,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,f6272be9,506f1741,c4104726
Thapelo Maseko,12.0,AM,22-229,85,0,0,0,0,0,0,0,0,2,3,0,0,1,1,0,0,0,498d45f7,506f1741,c4104726
Tshepang Moremi,8.0,MF,25-269,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546d38f9,506f1741,c4104726
Sphephelo Sithole,13.0,DM,27-117,90,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,33bcd4b3,506f1741,c4104726
Teboho Mokoena,4.0,DM,29-155,90,0,0,0,0,2,1,0,0,0,1,0,1,2,1,0,0,0,00029b1e,506f1741,c4104726
Aubrey Modiba,6.0,LB,30-341,90,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,0,0,bb1f97f2,506f1741,c4104726
Mbekezeli Mbokazi,14.0,CB,20-282,90,0,0,0,0,0,0,0,0,2,2,1,1,2,1,0,0,0,13398d42,506f1741,c4104726
Ime Okon,21.0,CB,22-128,90,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,3cb58055,506f1741,c4104726
Khuliso Mudau,20.0,RB,31-063,90,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,75388f92,506f1741,c4104726
Ronwen Williams,1.0,GK,34-158,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a66cc153,506f1741,c4104726
Tani Oluwaseyi,12.0,FW,26-044,69,0,0,0,0,3,2,0,0,1,2,0,0,1,0,0,0,0,950ef017,9c6d90a0,c4104726
Promise David,24.0,FW,24-360,21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,dbe19468,9c6d90a0,c4104726
Jonathan David,10.0,FW,26-165,90,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,ce50fd99,9c6d90a0,c4104726
Liam Millar,11.0,LW,26-274,69,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,983515f8,9c6d90a0,c4104726
Jacob Shaffelburg,14.0,MF,26-214,21,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,339a2561,9c6d90a0,c4104726
Tajon Buchanan,17.0,RW,27-140,74,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,3aca6420,9c6d90a0,c4104726
Alphonso Davies,19.0,"DF,FW",25-238,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d781d855,9c6d90a0,c4104726
Stephen Eustáquio,7.0,CM,29-189,90,1,0,0,0,2,1,0,0,0,1,0,7,2,1,0,0,0,577efaec,9c6d90a0,c4104726
Nathan Saliba,25.0,CM,22-141,58,0,0,0,0,0,0,1,0,3,2,0,0,1,3,0,0,0,44cfc681,9c6d90a0,c4104726
Niko Sigur,23.0,"DF,MF",22-292,32,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,5c56986b,9c6d90a0,c4104726
Richie Laryea,22.0,LB,31-172,90,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,0,0,276fdbe4,9c6d90a0,c4104726
Derek Cornelius,13.0,CB,28-215,90,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,577744b8,9c6d90a0,c4104726
Moïse Bombito,15.0,CB,26-090,58,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,c2f23fc8,9c6d90a0,c4104726
Luc De Fougerolles,4.0,DF,20-259,32,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,45c427ff,9c6d90a0,c4104726
Alistair Johnston,2.0,RB,27-263,90,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4fb17e20,9c6d90a0,c4104726
Maxime Crépeau,16.0,GK,32-048,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ea42e480,9c6d90a0,c4104726
