Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Harry Kane,9.0,FW,32-324,90,2,0,1,1,7,3,0,0,2,1,0,0,1,0,0,0,0,21a66f6a,1862c019,c42ce3be
Anthony Gordon,18.0,AM,25-113,71,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2bd83368,1862c019,c42ce3be
Marcus Rashford,11.0,"FW,MF",28-229,19,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,a1d5bd30,1862c019,c42ce3be
Jude Bellingham,10.0,AM,22-353,79,1,0,0,0,3,2,0,0,0,1,0,1,3,1,0,0,0,57d88cf9,1862c019,c42ce3be
Djed Spence,25.0,"DF,MF",25-312,11,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,9bc9a519,1862c019,c42ce3be
Noni Madueke,20.0,AM,24-099,71,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,bf34eebd,1862c019,c42ce3be
Bukayo Saka,7.0,"FW,MF",24-285,19,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bc7dc64d,1862c019,c42ce3be
Declan Rice,4.0,DM,27-154,71,0,1,0,0,1,1,0,0,1,0,0,9,0,0,0,0,0,1c7012b8,1862c019,c42ce3be
Morgan Rogers,17.0,"FW,MF",23-326,19,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2e5915f1,1862c019,c42ce3be
Elliot Anderson,8.0,DM,23-223,90,0,1,0,0,1,0,0,0,3,2,0,1,1,4,0,0,0,de31038e,1862c019,c42ce3be
Nico O'Reilly,3.0,LB,21-088,90,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,91ca4a16,1862c019,c42ce3be
John Stones,5.0,CB,32-020,86,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5eecec3d,1862c019,c42ce3be
Marc Guéhi,6.0,DF,25-339,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d0706b27,1862c019,c42ce3be
Ezri Konsa,2.0,CB,28-237,90,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0313a347,1862c019,c42ce3be
Reece James,24.0,RB,26-191,90,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1265a93a,1862c019,c42ce3be
Jordan Pickford,1.0,GK,32-102,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4806ec67,1862c019,c42ce3be
Petar Musa,26.0,FW,28-105,65,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,4567a0b4,7b08e376,c42ce3be
Igor Matanović,20.0,FW,23-078,25,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,948e1292,7b08e376,c42ce3be
Martin Baturina,16.0,FW,23-121,77,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,d1eda5f0,7b08e376,c42ce3be
Nikola Vlašić,13.0,"FW,MF",28-256,13,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,aa8e289e,7b08e376,c42ce3be
Petar Sučić,17.0,FW,22-235,90,0,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,23fb46ea,7b08e376,c42ce3be
Ivan Perišić,14.0,LM,37-135,90,0,1,0,0,0,0,0,0,2,0,0,6,0,2,0,0,0,6fe90922,7b08e376,c42ce3be
Mario Pašalić,15.0,CM,31-128,77,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,e599253a,7b08e376,c42ce3be
Andrej Kramarić,9.0,"FW,MF",34-363,13,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,603cb947,7b08e376,c42ce3be
Luka Modrić,10.0,CM,40-281,57,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,6025fab1,7b08e376,c42ce3be
Mateo Kovačić,8.0,MF,32-042,33,0,0,0,0,1,1,0,0,1,2,0,0,1,1,0,0,0,79c0821a,7b08e376,c42ce3be
Josip Stanišić,2.0,RM,26-076,90,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,7ed08d5c,7b08e376,c42ce3be
Joško Gvardiol,4.0,CB,24-145,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5ad50391,7b08e376,c42ce3be
Luka Vušković,22.0,CB,19-113,65,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,fd6bdbce,7b08e376,c42ce3be
Marco Pašalić,24.0,MF,25-276,25,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,1866b0f1,7b08e376,c42ce3be
Josip Šutalo,6.0,CB,26-109,90,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,33a6a650,7b08e376,c42ce3be
Dominik Livaković,1.0,GK,31-159,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58f077c0,7b08e376,c42ce3be
