Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Julio Enciso,19.0,FW,22-153,90,0,0,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,9cfbad36,d2043442,c8fa19f5
Gabriel Ávalos,21.0,FW,35-256,66,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,b6781b67,d2043442,c8fa19f5
Álex Arce,18.0,FW,31-009,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10411db2,d2043442,c8fa19f5
Matías Galarza,23.0,CM,24-134,89,0,0,0,0,0,0,0,0,1,0,0,1,5,1,0,0,0,8e97a57b,d2043442,c8fa19f5
Júnior Alonso,6.0,DF,33-136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b18a3023,d2043442,c8fa19f5
Andrés Cubas,14.0,CM,30-034,90,0,0,0,0,1,0,0,0,1,1,0,0,2,2,0,0,0,9b40a6ea,d2043442,c8fa19f5
Diego Gómez,8.0,CM,23-090,89,0,0,0,0,0,0,1,0,2,1,0,1,3,4,0,0,0,916728da,d2043442,c8fa19f5
Damián Bobadilla,16.0,MF,24-349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ad7d6437,d2043442,c8fa19f5
Alexandro Maidana,26.0,LB,20-334,45,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4d0d5020,d2043442,c8fa19f5
Mauricio,11.0,MF,25-034,45,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,0,0,bf4cbc22,d2043442,c8fa19f5
Omar Alderete,3.0,CB,29-181,83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bb08bce9,d2043442,c8fa19f5
José Canale,13.0,DF,29-340,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97d24b73,d2043442,c8fa19f5
Gustavo Gómez,15.0,CB,33-050,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,d5ce52a5,d2043442,c8fa19f5
Gustavo Velásquez,2.0,CB,35-069,90,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,b99b4cf5,d2043442,c8fa19f5
Juan Cáceres,4.0,RB,26-024,90,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,db887bdf,d2043442,c8fa19f5
Orlando Gill,12.0,GK,26-014,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0d425331,d2043442,c8fa19f5
Nestory Irankunda,17.0,FW,20-136,83,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,4ac730b2,b90bf4f9,c8fa19f5
Tete Yengi,26.0,FW,25-209,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1c215c70,b90bf4f9,c8fa19f5
Connor Metcalfe,8.0,AM,26-232,90,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,73ce4d7d,b90bf4f9,c8fa19f5
Cristian Volpato,20.0,AM,22-222,57,0,0,0,0,1,1,0,0,1,0,0,5,0,0,0,0,0,72f87f25,b90bf4f9,c8fa19f5
Ajdin Hrustic,10.0,MF,29-355,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1f2d714c,b90bf4f9,c8fa19f5
Aziz Behich,16.0,DM,35-191,90,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,b6867b96,b90bf4f9,c8fa19f5
Aiden O'Neill,13.0,DM,27-356,90,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,c7aee75b,b90bf4f9,c8fa19f5
Jackson Irvine,22.0,DM,33-110,83,0,0,0,0,2,1,1,0,1,1,0,1,0,0,0,0,0,4637747c,b90bf4f9,c8fa19f5
Paul Okon-Engstler,24.0,MF,21-152,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ecd6464a,b90bf4f9,c8fa19f5
Jordy Bos,5.0,DM,23-239,90,0,0,0,0,3,2,0,0,1,3,0,3,2,1,0,0,0,8070a9fd,b90bf4f9,c8fa19f5
Lucas Herrington,25.0,CB,18-293,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,6f808c85,b90bf4f9,c8fa19f5
Harry Souttar,19.0,CB,27-246,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0a6cb1b1,b90bf4f9,c8fa19f5
Alessandro Circati,3.0,CB,22-258,90,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1223765c,b90bf4f9,c8fa19f5
Patrick Beach,18.0,GK,22-323,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3cc64624,b90bf4f9,c8fa19f5
