Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Cristiano Ronaldo,7.0,FW,41-132,90,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,dea698d9,4a1b4ea8,c95830e9
Pedro Neto,18.0,AM,26-100,71,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,7ba2eaa9,4a1b4ea8,c95830e9
Rafael Leão,17.0,"FW,MF",27-007,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20730eae,4a1b4ea8,c95830e9
Bruno Fernandes,8.0,AM,31-282,90,0,0,0,0,2,0,0,0,1,2,0,6,2,0,0,0,0,507c7bdf,4a1b4ea8,c95830e9
Bernardo Silva,10.0,AM,31-311,45,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3eb22ec9,4a1b4ea8,c95830e9
Francisco Conceição,26.0,MF,23-185,45,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,5ef3d210,4a1b4ea8,c95830e9
Vitinha,23.0,DM,26-124,82,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3b029691,4a1b4ea8,c95830e9
Gonçalo Ramos,9.0,FW,24-362,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f63cda26,4a1b4ea8,c95830e9
João Neves,15.0,DM,21-263,90,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,c2a15a27,4a1b4ea8,c95830e9
Nuno Mendes,25.0,LB,23-363,71,0,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,f20e4cc9,4a1b4ea8,c95830e9
Nélson Semedo,2.0,"DF,MF",32-213,19,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,d04b94db,4a1b4ea8,c95830e9
Renato Veiga,13.0,CB,22-323,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,fc8fcbd1,4a1b4ea8,c95830e9
Tomás Araújo,4.0,CB,24-032,90,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0fa11d7d,4a1b4ea8,c95830e9
João Cancelo,20.0,RB,32-021,90,0,0,0,0,0,0,0,0,2,1,1,6,2,1,0,0,0,bd6351cd,4a1b4ea8,c95830e9
Diogo Costa,1.0,GK,26-271,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93fffbcf,4a1b4ea8,c95830e9
Yoane Wissa,20.0,FW,29-287,90,1,0,0,0,2,1,0,0,3,3,0,0,1,0,0,0,0,2500cef9,9be9f315,c95830e9
Cédric Bakambu,17.0,FW,35-067,84,0,0,0,0,2,0,0,0,1,1,2,1,0,0,0,0,0,0af4dcf0,9be9f315,c95830e9
Simon Banza,23.0,"FW,MF",29-308,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,be47b750,9be9f315,c95830e9
Edo Kayembe,25.0,CM,28-014,74,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,0,f99b71de,9be9f315,c95830e9
Charles Pickel,18.0,"DF,MF",29-033,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f71ad8cb,9be9f315,c95830e9
Samuel Moutoussamy,8.0,CM,29-309,90,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,af0c835b,9be9f315,c95830e9
Ngal'Ayel Mukau,6.0,CM,21-226,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,bb461b8a,9be9f315,c95830e9
Noah Sadiki,14.0,MF,21-182,34,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,645481cc,9be9f315,c95830e9
Arthur Masuaku,26.0,LB,32-222,74,0,1,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,57df7a11,9be9f315,c95830e9
Joris Kayembe,12.0,"DF,FW",31-313,16,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4657faba,9be9f315,c95830e9
Steve Kapuadi,3.0,CB,28-048,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3f3c941a,9be9f315,c95830e9
Axel Tuanzebe,4.0,CB,28-215,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2baec6ce,9be9f315,c95830e9
Chancel Mbemba,22.0,CB,31-313,90,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,e76cb9cc,9be9f315,c95830e9
Aaron Wan-Bissaka,2.0,RB,28-203,84,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,9e525177,9be9f315,c95830e9
Gédéon Kalulu,24.0,DF,28-292,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dd211559,9be9f315,c95830e9
Lionel Mpasi,1.0,GK,31-320,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5c6b0637,9be9f315,c95830e9
