Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Romelu Lukaku,9.0,FW,33-039,72,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5eae500a,361422b9,c96f559b
Arthur Theate,3.0,DF,26-027,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,df8d6029,361422b9,c96f559b
Leandro Trossard,10.0,AM,31-199,90,0,0,0,0,1,0,0,0,1,1,1,3,1,0,0,0,0,38ceb24a,361422b9,c96f559b
Kevin De Bruyne,7.0,AM,34-358,86,0,0,0,0,5,1,0,0,0,3,0,10,0,0,0,0,0,e46012d4,361422b9,c96f559b
Matias Fernandez-Pardo,26.0,"FW,MF",21-138,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0cdb6a2a,361422b9,c96f559b
Alexis Saelemaekers,22.0,AM,26-359,57,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,ee251371,361422b9,c96f559b
Dodi Lukebakio,14.0,"FW,MF",28-270,33,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0c61c77c,361422b9,c96f559b
Youri Tielemans,8.0,DM,29-045,90,0,0,0,0,2,1,0,0,0,2,1,4,2,0,0,0,0,56f7a928,361422b9,c96f559b
Nicolas Raskin,23.0,DM,25-118,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,dba1f190,361422b9,c96f559b
Hans Vanaken,20.0,MF,33-301,33,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,392a7aea,361422b9,c96f559b
Maxim De Cuyper,5.0,LB,25-181,90,0,0,0,0,5,4,0,0,0,1,0,3,0,0,0,0,0,d494882e,361422b9,c96f559b
Brandon Mechele,4.0,CB,33-144,90,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0a6dbbf7,361422b9,c96f559b
Nathan Ngoy,25.0,CB,23-011,65,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,eb7abf2e,361422b9,c96f559b
Thomas Meunier,15.0,RB,34-282,57,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,e162b013,361422b9,c96f559b
Timothy Castagne,21.0,"DF,MF",30-198,33,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,197640fd,361422b9,c96f559b
Thibaut Courtois,1.0,GK,34-041,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840e36d,361422b9,c96f559b
Mehdi Taremi,9.0,FW,33-338,90,0,0,0,0,1,1,0,0,2,2,2,0,0,0,0,0,0,4c2a5d34,6a08f71e,c96f559b
Mohammad Mohebi,8.0,LM,27-183,65,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7b6b53c3,6a08f71e,c96f559b
Mehdi Torabi,16.0,MF,31-284,25,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,74567feb,6a08f71e,c96f559b
Saeid Ezatolahi,6.0,CM,29-263,84,0,0,0,0,2,1,1,0,2,0,0,0,2,4,0,0,0,314d95ac,6a08f71e,c96f559b
Amirhossein Hosseinzadeh,18.0,FW,25-234,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,47270f0c,6a08f71e,c96f559b
Saman Ghoddos,14.0,CM,32-288,78,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,f7b1d4e0,6a08f71e,c96f559b
Shahriar Moghanlou,20.0,MF,31-182,12,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,92f69be8,6a08f71e,c96f559b
Ramin Rezaeian,23.0,RM,36-092,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,c0ae3446,6a08f71e,c96f559b
Ehsan Hajsafi,3.0,LB,36-116,65,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,b060e3b8,6a08f71e,c96f559b
Milad Mohammadi,5.0,"DF,MF",32-265,25,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,740a0e28,6a08f71e,c96f559b
Ali Nemati,19.0,CB,30-133,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19a221f7,6a08f71e,c96f559b
Shoja' Khalilzadeh,4.0,CB,37-038,90,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0aed29f1,6a08f71e,c96f559b
Hossein Kanaanizadegan,13.0,CB,32-090,90,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,24353c25,6a08f71e,c96f559b
Saleh Hardani,2.0,RB,27-177,45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3a9b682b,6a08f71e,c96f559b
Alireza Jahanbakhsh,7.0,"FW,MF",32-314,45,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,08452314,6a08f71e,c96f559b
Alireza Beiranvand,1.0,GK,33-273,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6ca0b04a,6a08f71e,c96f559b
