Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Leandro Trossard,10.0,FW,31-209,108,0,1,0,0,2,1,0,0,1,3,0,1,0,1,0,0,0,38ceb24a,361422b9,cf968279
Amadou Onana,24.0,MF,24-319,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828657ff,361422b9,cf968279
Jeremy Doku,11.0,AM,24-035,55,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,fffea3e5,361422b9,cf968279
Dodi Lukebakio,14.0,"FW,MF",28-280,65,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0c61c77c,361422b9,cf968279
Kevin De Bruyne,7.0,AM,35-003,55,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,e46012d4,361422b9,cf968279
Nicolas Raskin,23.0,MF,25-128,65,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,dba1f190,361422b9,cf968279
Charles De Ketelaere,17.0,AM,25-113,45,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2ef7c612,361422b9,cf968279
Romelu Lukaku,9.0,FW,33-049,75,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,5eae500a,361422b9,cf968279
Youri Tielemans,8.0,DM,29-055,120,2,0,1,1,4,2,0,0,4,2,0,5,1,1,0,0,0,56f7a928,361422b9,cf968279
Hans Vanaken,20.0,DM,33-311,62,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,392a7aea,361422b9,cf968279
Diego Moreira,19.0,MF,21-329,58,0,0,0,0,0,0,0,0,2,1,1,5,1,1,0,0,0,12de1b0d,361422b9,cf968279
Maxim De Cuyper,5.0,LB,25-191,77,0,0,0,0,2,1,0,0,2,0,0,2,0,1,0,0,0,d494882e,361422b9,cf968279
Thomas Meunier,15.0,"DF,MF",34-292,43,0,1,0,0,1,0,0,0,3,0,0,3,0,1,0,0,0,e162b013,361422b9,cf968279
Arthur Theate,3.0,CB,26-037,120,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,df8d6029,361422b9,cf968279
Brandon Mechele,4.0,CB,33-154,120,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0a6dbbf7,361422b9,cf968279
Timothy Castagne,21.0,RB,30-208,120,0,0,0,0,1,0,0,0,4,0,0,2,2,2,0,0,0,197640fd,361422b9,cf968279
Thibaut Courtois,1.0,GK,34-051,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840e36d,361422b9,cf968279
Ismaila Sarr,18.0,FW,28-126,120,1,0,0,0,5,1,0,0,1,5,0,0,0,1,0,0,0,bfdb33aa,9ab5c684,cf968279
Sadio Mané,10.0,FW,34-082,92,0,0,0,0,1,1,0,0,2,4,2,4,0,1,0,0,0,c691bfe2,9ab5c684,cf968279
Nicolas Jackson,11.0,FW,25-011,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9c36ed83,9ab5c684,cf968279
Iliman Ndiaye,13.0,FW,26-117,72,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,5ed97752,9ab5c684,cf968279
Ibrahim Mbaye,20.0,FW,18-158,48,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,201b4ee4,9ab5c684,cf968279
Pape Gueye,26.0,CM,27-158,65,0,0,0,0,2,0,0,0,2,1,0,3,0,1,0,0,0,7155e3e1,9ab5c684,cf968279
Lamine Camara,8.0,MF,22-181,55,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,19c2ffa4,9ab5c684,cf968279
Habib Diarra,21.0,CM,22-179,72,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,6d0fe035,9ab5c684,cf968279
Pape Matar Sarr,17.0,MF,23-290,48,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,feb5d972,9ab5c684,cf968279
Idrissa Gueye,5.0,DM,36-278,94,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,72c812f3,9ab5c684,cf968279
Bara Sapoko Ndiaye,22.0,MF,18-182,26,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,fa080d50,9ab5c684,cf968279
Ismail Jakobs,14.0,LB,26-318,92,0,0,0,0,0,0,0,0,1,0,0,5,1,2,0,0,0,a0415710,9ab5c684,cf968279
El Hadji Malick Diouf,25.0,"DF,MF",21-185,28,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,bd5eb2e5,9ab5c684,cf968279
Moussa Niakhaté,19.0,CB,30-115,120,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,00242715,9ab5c684,cf968279
Pathé Ciss,6.0,CB,32-107,120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9a0408b6,9ab5c684,cf968279
Krépin Diatta,15.0,RB,27-126,120,0,0,0,0,0,0,0,0,3,4,0,3,2,1,0,0,0,8104e41e,9ab5c684,cf968279
Mory Diaw,23.0,GK,33-009,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,f41a69e6,9ab5c684,cf968279
