Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Ange-Yoan Bonny,9.0,FW,22-248,59,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,64629ba4,24772b12,d280258e
Elye Wahi,12.0,FW,23-179,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0d7b6576,24772b12,d280258e
Yan Diomandé,11.0,FW,19-228,89,0,0,0,0,1,0,0,0,1,3,0,7,3,0,0,0,0,919f5f54,24772b12,d280258e
Evann Guessand,22.0,"FW,MF",24-364,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,b73f17f8,24772b12,d280258e
Nicolas Pépé,19.0,FW,31-032,86,0,1,0,0,2,1,0,0,0,1,0,7,0,1,0,0,0,57e3f0c7,24772b12,d280258e
Oumar Diakité,14.0,FW,22-192,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,44435c8f,24772b12,d280258e
Christ Inao Oulaï,26.0,CM,20-085,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62709ee4,24772b12,d280258e
Amad Diallo,15.0,"FW,MF",23-354,31,1,0,0,0,2,2,0,0,0,0,1,2,0,0,0,0,0,9dc96f10,24772b12,d280258e
Franck Kessié,8.0,CM,29-193,90,0,0,0,0,1,1,0,0,2,0,0,2,1,0,0,0,0,05e19d6a,24772b12,d280258e
Ibrahim Sangaré,18.0,DM,28-210,90,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,bced0375,24772b12,d280258e
Ghislain Konan,3.0,LB,30-185,89,0,0,0,0,2,0,0,0,0,1,0,5,2,0,0,0,0,6b2c894b,24772b12,d280258e
Bazoumana Touré,24.0,MF,20-120,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,93945a50,24772b12,d280258e
Emmanuel Agbadou,20.0,CB,29-013,90,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,75f1ed80,24772b12,d280258e
Odilon Kossounou,7.0,CB,25-177,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1f3afdcb,24772b12,d280258e
Guéla Doué,17.0,RB,23-256,90,0,0,0,0,1,0,0,0,2,1,0,5,4,1,0,0,0,b4ef3fb5,24772b12,d280258e
Yahia Fofana,1.0,GK,25-313,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d420dad,24772b12,d280258e
Erling Haaland,9.0,FW,25-344,90,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1f44ac21,599eba19,d280258e
Antonio Nusa,20.0,FW,21-074,70,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,4ab12002,599eba19,d280258e
Andreas Schjelderup,21.0,"FW,MF",22-029,20,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,a427724f,599eba19,d280258e
Alexander Sørloth,7.0,FW,30-207,70,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,e92cd3f7,599eba19,d280258e
Oscar Bobb,22.0,"FW,MF",22-353,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,eed2427e,599eba19,d280258e
Patrick Berg,6.0,CM,28-218,90,0,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,e4114f5d,599eba19,d280258e
Martin Ødegaard,10.0,CM,27-195,90,0,1,0,0,1,0,0,0,2,1,0,3,1,1,0,0,0,79300479,599eba19,d280258e
Sander Berge,8.0,DM,28-136,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,d0b6129f,599eba19,d280258e
David Møller Wolfe,5.0,LB,24-068,90,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,9affc5f2,599eba19,d280258e
Torbjørn Heggem,17.0,CB,27-169,90,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,834fea76,599eba19,d280258e
Kristoffer Ajer,3.0,CB,28-074,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,a8c0acb7,599eba19,d280258e
Marcus Pedersen,16.0,RB,25-349,82,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,596cc50e,599eba19,d280258e
Fredrik Aursnes,14.0,"DF,MF",30-202,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,f0677ed7,599eba19,d280258e
Ørjan Nyland,1.0,GK,35-293,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bdedffac,599eba19,d280258e
