Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Jhon Córdoba,9.0,FW,33-053,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9f381d8b,ab73cfe5,d4ac0040
Luis Suárez,25.0,FW,28-213,83,0,1,0,0,2,0,0,0,4,2,0,2,3,0,0,0,0,eeba07f8,ab73cfe5,d4ac0040
Luis Díaz,7.0,FW,29-171,89,0,0,0,0,5,2,0,0,1,0,2,0,0,0,0,0,0,4a1a9578,ab73cfe5,d4ac0040
Jaminton Campaz,21.0,"FW,MF",26-040,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,8d5ceef2,ab73cfe5,d4ac0040
James Rodríguez,10.0,FW,34-356,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,715bf047,ab73cfe5,d4ac0040
Richard Ríos,6.0,MF,26-031,45,0,0,0,0,3,1,1,0,3,1,0,1,1,0,0,0,0,72da065d,ab73cfe5,d4ac0040
Jhon Arias,11.0,CM,28-285,72,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,86d96066,ab73cfe5,d4ac0040
Juan Quintero,20.0,"FW,MF",33-166,18,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,540d0b37,ab73cfe5,d4ac0040
Gustavo Puerta,14.0,CM,22-345,90,0,0,0,0,2,1,0,0,3,3,0,0,0,0,0,0,0,2c08cab0,ab73cfe5,d4ac0040
Jefferson Lerma,16.0,DM,31-251,90,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9b5ce51a,ab73cfe5,d4ac0040
Johan Mojica,17.0,LB,33-316,90,0,0,0,0,1,1,0,0,0,1,0,4,1,1,0,0,0,608f2092,ab73cfe5,d4ac0040
Jhon Lucumí,3.0,CB,28-007,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80490d7f,ab73cfe5,d4ac0040
Davinson Sánchez,23.0,CB,30-021,90,0,0,0,0,2,1,0,0,1,2,0,0,0,1,0,0,0,da7b447d,ab73cfe5,d4ac0040
Daniel Muñoz,2.0,RB,30-038,90,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,0,778ef829,ab73cfe5,d4ac0040
Camilo Vargas,12.0,GK,37-116,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,004e3d0f,ab73cfe5,d4ac0040
Jordan Ayew,9.0,FW,34-295,78,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,0,da052c14,9349828d,d4ac0040
Ernest Nuamah,24.0,"FW,MF",22-244,12,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,234a703c,9349828d,d4ac0040
Antoine Semenyo,11.0,FW,26-177,90,0,0,0,0,3,0,0,0,1,3,0,2,1,0,0,0,0,efd2ec23,9349828d,d4ac0040
Iñaki Williams,19.0,FW,32-018,61,0,0,0,0,3,0,0,0,0,1,0,4,0,1,0,0,0,6a99e0b1,9349828d,d4ac0040
Abdul Fatawu Issahaku,7.0,"FW,MF",22-117,29,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,bceda5ff,9349828d,d4ac0040
Kwasi Sibo,8.0,CM,28-009,61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,be834ad7,9349828d,d4ac0040
Elisha Owusu,15.0,MF,28-238,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e2781082,9349828d,d4ac0040
Caleb Yirenkyi,3.0,CM,20-169,78,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,d40ce7b0,9349828d,d4ac0040
Prince Kwabena Adu,25.0,FW,22-283,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36bdd145,9349828d,d4ac0040
Thomas Partey,5.0,DM,33-020,90,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,529f49ab,9349828d,d4ac0040
Gideon Mensah,14.0,LB,27-350,90,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,9bdd8118,9349828d,d4ac0040
Jerome Opoku,18.0,CB,27-262,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,091d6ee5,9349828d,d4ac0040
Derrick Luckassen,23.0,CB,31-000,90,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,30a09cb5,9349828d,d4ac0040
Marvin Senaya,26.0,RB,25-156,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1d383c10,9349828d,d4ac0040
Alidu Seidu,2.0,DF,26-029,78,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,cea59f02,9349828d,d4ac0040
Lawrence Ati-Zigi,1.0,GK,29-216,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a12402c3,9349828d,d4ac0040
