Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Chris Wood,9.0,FW,34-196,90,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,4e9a0555,259855f0,d5699a16
Elijah Just,11.0,AM,26-051,84,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0c295d6e,259855f0,d5699a16
Francis de Vries,3.0,DF,31-205,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,90a63dda,259855f0,d5699a16
Sarpreet Singh,10.0,AM,27-121,75,0,0,0,0,1,0,1,0,1,2,0,2,0,0,0,0,0,4ba886c6,259855f0,d5699a16
Ryan Thomas,23.0,"FW,MF",31-183,15,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,95efdac2,259855f0,d5699a16
Callum McCowatt,20.0,AM,27-052,65,0,0,0,0,2,2,1,0,2,0,0,2,0,0,0,0,0,3fc42049,259855f0,d5699a16
Ben Old,19.0,MF,23-312,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,e14e818c,259855f0,d5699a16
Marko Stamenic,8.0,DM,24-122,90,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,690d1049,259855f0,d5699a16
Joe Bell,6.0,DM,27-055,90,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,7825847e,259855f0,d5699a16
Liberato Cacace,13.0,LB,25-267,75,0,0,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,dd86e8e4,259855f0,d5699a16
Jesse Randall,21.0,MF,23-306,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513ec88e,259855f0,d5699a16
Michael Boxall,5.0,CB,37-307,90,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,6bfa0d3a,259855f0,d5699a16
Finn Surman,16.0,CB,22-271,90,1,0,0,0,1,1,0,0,3,0,0,0,0,1,0,0,0,016e419b,259855f0,d5699a16
Tim Payne,2.0,RB,32-162,84,0,1,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,4e86877c,259855f0,d5699a16
Tyler Bindon,4.0,DF,21-145,6,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3575e5eb,259855f0,d5699a16
Max Crocombe,1.0,GK,32-313,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fdf47077,259855f0,d5699a16
Omar Marmoush,22.0,FW,27-134,75,0,0,0,0,3,1,0,0,0,4,0,1,0,0,0,0,0,0e0102eb,b8889750,d5699a16
Trézéguet,7.0,"FW,MF",31-263,15,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3ae14ed1,b8889750,d5699a16
Mohamed Salah,10.0,FW,34-006,84,1,1,0,0,5,2,0,0,0,1,0,4,0,0,0,0,0,e342ad68,b8889750,d5699a16
Hossam Abdelmaguid,4.0,DF,25-052,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,accbfc94,b8889750,d5699a16
Mohamed Abdelmonem,6.0,DF,27-140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bff15d74,b8889750,d5699a16
Emam Ashour,8.0,LW,28-121,84,0,0,0,0,3,0,0,0,1,3,0,2,0,0,0,0,0,31b7d437,b8889750,d5699a16
Zizo,25.0,MF,30-162,6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,c6415ba9,b8889750,d5699a16
Mostafa Ziko,11.0,RW,29-055,75,1,1,0,0,4,1,0,0,2,1,0,2,1,1,0,0,0,68ff8437,b8889750,d5699a16
Hamza Abdelkarim,9.0,FW,18-171,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,057d8f12,b8889750,d5699a16
Marwan Attia,19.0,CM,27-313,90,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1ea3d7ec,b8889750,d5699a16
Mohanad Lasheen,17.0,CM,30-023,90,0,0,0,0,0,0,1,0,1,0,0,0,4,1,0,0,0,8c041c7d,b8889750,d5699a16
Ahmed Fatouh,13.0,LB,28-091,90,0,0,0,0,1,1,0,0,0,1,0,3,3,2,0,0,0,de13286d,b8889750,d5699a16
Hamdy Fathy,14.0,CB,31-265,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,c8ef4955,b8889750,d5699a16
Ramy Rabia,5.0,"DF,MF",33-032,50,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,e32afa36,b8889750,d5699a16
Yasser Ibrahim,2.0,CB,33-131,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0b89ad1b,b8889750,d5699a16
Mohamed Hany,3.0,RB,30-147,90,0,1,0,0,1,0,0,0,0,0,0,4,1,1,0,0,0,9bcf1513,b8889750,d5699a16
Mostafa Shobeir,23.0,GK,26-037,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0cb1d2ba,b8889750,d5699a16
