Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Tomás Rodríguez,9.0,FW,27-110,45,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,59f97bc8,6061a82d,d7e30dec
José Fajardo,17.0,FW,32-313,45,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,0,0,682e47b3,6061a82d,d7e30dec
José Luis Rodríguez,7.0,LM,28-008,70,0,0,0,0,2,1,0,0,2,1,0,1,1,0,0,0,0,b333b014,6061a82d,d7e30dec
Azarías Londoño,24.0,MF,25-006,20,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,31d68775,6061a82d,d7e30dec
Yoel Bárcenas,11.0,CM,32-247,70,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,b39849eb,6061a82d,d7e30dec
Ismael Díaz,10.0,"FW,MF",29-046,20,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,f2a276d1,6061a82d,d7e30dec
Carlos Harvey,14.0,CM,26-144,87,0,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,3f18600c,6061a82d,d7e30dec
Alberto Quintero,19.0,"FW,MF",38-191,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5854ae43,6061a82d,d7e30dec
Cristian Martínez,6.0,RM,29-141,90,0,0,0,0,0,0,0,0,1,2,0,2,1,1,0,0,0,fdb15495,6061a82d,d7e30dec
Jorge Gutiérrez,26.0,LB,27-299,87,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,56f6d192,6061a82d,d7e30dec
Erick Davis,15.0,DF,35-088,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2ffb0739,6061a82d,d7e30dec
Andrés Andrade Cedeño,16.0,CB,27-254,90,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,0,0,6ea23758,6061a82d,d7e30dec
José Córdoba,3.0,CB,25-113,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,bec98750,6061a82d,d7e30dec
Fidel Escobar,4.0,CB,31-169,90,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,4991ec66,6061a82d,d7e30dec
Michael Amir Murillo,23.0,RB,30-136,90,0,0,0,0,2,0,0,0,0,3,1,1,0,0,0,0,0,349cae8f,6061a82d,d7e30dec
Orlando Mosquera,22.0,GK,31-184,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ea34d827,6061a82d,d7e30dec
Harry Kane,9.0,FW,32-334,83,1,0,0,0,3,2,0,0,2,1,1,0,0,0,0,0,0,21a66f6a,1862c019,d7e30dec
Ollie Watkins,19.0,"FW,MF",30-179,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,aed3a70f,1862c019,d7e30dec
Marcus Rashford,11.0,AM,28-239,90,0,0,0,0,5,1,0,0,1,0,1,6,1,0,0,0,0,a1d5bd30,1862c019,d7e30dec
Morgan Rogers,17.0,AM,23-336,90,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,2e5915f1,1862c019,d7e30dec
Bukayo Saka,7.0,AM,24-295,62,0,1,0,0,3,0,0,0,1,1,1,5,1,0,0,0,0,bc7dc64d,1862c019,d7e30dec
Noni Madueke,20.0,"FW,MF",24-109,28,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,bf34eebd,1862c019,d7e30dec
Jude Bellingham,10.0,DM,22-363,70,1,1,0,0,2,1,0,0,0,4,0,2,4,0,0,0,0,57d88cf9,1862c019,d7e30dec
Eberechi Eze,21.0,"FW,MF",27-363,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ae4fc6a4,1862c019,d7e30dec
Elliot Anderson,8.0,DM,23-233,83,0,0,0,0,1,1,0,0,1,3,0,5,2,2,0,0,0,de31038e,1862c019,d7e30dec
Jordan Henderson,14.0,MF,36-010,7,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,935e6b8f,1862c019,d7e30dec
Nico O'Reilly,3.0,LB,21-098,90,0,0,0,0,1,0,0,0,2,0,0,1,3,0,0,0,0,91ca4a16,1862c019,d7e30dec
Marc Guéhi,6.0,CB,25-349,90,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,d0706b27,1862c019,d7e30dec
Ezri Konsa,2.0,CB,28-247,90,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0313a347,1862c019,d7e30dec
Jarell Quansah,26.0,RB,23-149,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4125cb98,1862c019,d7e30dec
Djed Spence,25.0,"DF,MF",25-322,28,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,9bc9a519,1862c019,d7e30dec
Jordan Pickford,1.0,GK,32-112,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4806ec67,1862c019,d7e30dec
