Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Kylian Mbappé,10.0,FW,27-192,84,2,0,0,0,5,4,0,0,1,1,1,1,0,0,0,0,0,42fd9c7f,b1b36dcd,da47849b
Jean-Philippe Mateta,22.0,FW,29-002,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,50e6dc35,b1b36dcd,da47849b
Bradley Barcola,12.0,AM,23-301,90,1,0,0,0,3,2,0,0,0,0,1,0,1,0,0,0,0,a0d55a09,b1b36dcd,da47849b
Michael Olise,11.0,AM,24-200,84,0,2,0,0,6,3,0,0,1,1,0,8,1,0,0,0,0,c4486bac,b1b36dcd,da47849b
Rayan Cherki,24.0,"FW,MF",22-317,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,b34c63a5,b1b36dcd,da47849b
Ousmane Dembélé,7.0,AM,29-046,74,0,1,0,0,2,0,0,0,0,1,1,3,1,0,0,0,0,b19db005,b1b36dcd,da47849b
Désiré Doué,20.0,"FW,MF",21-027,16,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,9e7483ff,b1b36dcd,da47849b
Adrien Rabiot,14.0,DM,31-088,90,0,0,0,0,2,1,0,0,4,1,0,0,1,2,0,0,0,8794e251,b1b36dcd,da47849b
Aurélien Tchouaméni,8.0,DM,26-154,90,0,0,0,0,1,0,0,0,1,2,0,0,2,1,0,0,0,4f255115,b1b36dcd,da47849b
Lucas Digne,3.0,LB,32-345,77,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1b84dbe1,b1b36dcd,da47849b
Theo Hernández,19.0,"DF,MF",28-267,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,d4c9725f,b1b36dcd,da47849b
William Saliba,17.0,CB,25-098,90,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,972aeb2a,b1b36dcd,da47849b
Dayot Upamecano,4.0,CB,27-246,90,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,d248cd8f,b1b36dcd,da47849b
Jules Koundé,5.0,RB,27-230,74,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,4d1666ff,b1b36dcd,da47849b
Malo Gusto,2.0,"DF,MF",23-042,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,d56b9520,b1b36dcd,da47849b
Mike Maignan,16.0,GK,30-362,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fcb38f57,b1b36dcd,da47849b
Alexander Isak,9.0,FW,26-282,88,0,0,0,0,2,1,0,0,3,0,0,0,1,0,0,0,0,8e92be30,296f69e7,da47849b
Gustaf Nilsson,25.0,FW,29-038,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a7d48b00,296f69e7,da47849b
Viktor Gyökeres,17.0,FW,28-026,90,0,0,0,0,1,1,0,0,0,4,0,0,1,0,0,0,0,4d5a9185,296f69e7,da47849b
Elliot Stroud,24.0,LW,24-008,65,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,ff11bdec,296f69e7,da47849b
Taha Ali,26.0,"FW,MF",27-364,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,da4b8a4e,296f69e7,da47849b
Anthony Elanga,11.0,RW,24-064,90,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,2fba6108,296f69e7,da47849b
Yasin Ayari,18.0,CM,22-267,81,0,0,0,0,0,0,0,0,2,2,0,2,0,1,0,0,0,f173303a,296f69e7,da47849b
Benjamin Nygren,10.0,"FW,MF",24-357,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,d6ebf67f,296f69e7,da47849b
Lucas Bergvall,7.0,CM,20-148,65,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,a109e5c8,296f69e7,da47849b
Besfort Zeneli,22.0,MF,23-221,25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6be253bf,296f69e7,da47849b
Gabriel Gudmundsson,5.0,LB,27-062,90,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,d5d22a58,296f69e7,da47849b
Victor Lindelöf,3.0,CB,31-348,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f5deef4c,296f69e7,da47849b
Gustaf Lagerbielke,2.0,CB,26-081,90,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,9e39fa2d,296f69e7,da47849b
Daniel Svensson,8.0,RB,24-138,81,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,124c9382,296f69e7,da47849b
Mattias Svanberg,19.0,MF,27-176,9,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,92d83c27,296f69e7,da47849b
Jacob Widell Zetterström,1.0,GK,27-354,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ac5120d8,296f69e7,da47849b
