Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Jhon Córdoba,9.0,FW,33-047,59,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,9f381d8b,ab73cfe5,ded93e98
Luis Suárez,25.0,FW,28-207,31,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,eeba07f8,ab73cfe5,ded93e98
Luis Díaz,7.0,FW,29-165,90,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,4a1a9578,ab73cfe5,ded93e98
James Rodríguez,10.0,FW,34-350,75,0,0,0,0,3,1,0,0,0,1,0,3,0,0,0,0,0,715bf047,ab73cfe5,ded93e98
Juan Quintero,20.0,"FW,MF",33-160,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,540d0b37,ab73cfe5,ded93e98
Gustavo Puerta,14.0,CM,22-339,90,0,0,0,0,4,1,1,0,2,0,0,0,1,0,0,0,0,2c08cab0,ab73cfe5,ded93e98
Jhon Arias,11.0,CM,28-279,75,0,0,0,0,3,2,0,0,3,1,0,0,2,0,0,0,0,86d96066,ab73cfe5,ded93e98
Kevin Castaño,5.0,MF,25-271,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c393c3d9,ab73cfe5,ded93e98
Jefferson Lerma,16.0,DM,31-245,59,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,9b5ce51a,ab73cfe5,ded93e98
Richard Ríos,6.0,MF,26-025,31,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,0,72da065d,ab73cfe5,ded93e98
Deiver Machado,22.0,LB,32-298,90,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,b3f8bdef,ab73cfe5,ded93e98
Jhon Lucumí,3.0,CB,28-001,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,80490d7f,ab73cfe5,ded93e98
Davinson Sánchez,23.0,CB,30-015,90,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,da7b447d,ab73cfe5,ded93e98
Santiago Arias,4.0,RB,34-165,86,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,fdd60087,ab73cfe5,ded93e98
Daniel Muñoz,2.0,"DF,MF",30-032,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,778ef829,ab73cfe5,ded93e98
Camilo Vargas,12.0,GK,37-110,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,004e3d0f,ab73cfe5,ded93e98
Cristiano Ronaldo,7.0,FW,41-142,90,0,0,0,0,3,1,0,0,1,2,2,0,0,0,0,0,0,dea698d9,4a1b4ea8,ded93e98
João Félix,11.0,AM,26-229,69,0,0,0,0,3,0,0,0,0,0,0,3,1,1,0,0,0,8aafd64f,4a1b4ea8,ded93e98
Rafael Leão,17.0,"FW,MF",27-017,21,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,20730eae,4a1b4ea8,ded93e98
Bruno Fernandes,8.0,AM,31-292,90,0,0,0,0,2,1,0,0,0,2,0,2,1,0,0,0,0,507c7bdf,4a1b4ea8,ded93e98
Pedro Neto,18.0,AM,26-110,90,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,7ba2eaa9,4a1b4ea8,ded93e98
Vitinha,23.0,DM,26-134,69,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,3b029691,4a1b4ea8,ded93e98
Samu Costa,24.0,MF,25-212,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76c2a023,4a1b4ea8,ded93e98
Rúben Neves,21.0,DM,29-106,45,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44bfb6c5,4a1b4ea8,ded93e98
João Neves,15.0,MF,21-273,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,c2a15a27,4a1b4ea8,ded93e98
Nuno Mendes,25.0,LB,24-008,89,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,f20e4cc9,4a1b4ea8,ded93e98
Matheus Nunes,6.0,"DF,MF",27-304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e6af02e0,4a1b4ea8,ded93e98
Renato Veiga,13.0,CB,22-333,90,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,fc8fcbd1,4a1b4ea8,ded93e98
Rúben Dias,3.0,CB,29-044,90,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,31c69ef1,4a1b4ea8,ded93e98
João Cancelo,20.0,RB,32-031,45,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,bd6351cd,4a1b4ea8,ded93e98
Diogo Dalot,5.0,"DF,MF",27-101,45,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,d9565625,4a1b4ea8,ded93e98
Diogo Costa,1.0,GK,26-281,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,93fffbcf,4a1b4ea8,ded93e98
