Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Lautaro Martínez,22.0,FW,28-304,64,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,f7036e1c,f9fddd6e,e7d8a062
Nicolás González,15.0,"FW,MF",28-077,26,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2374aaca,f9fddd6e,e7d8a062
Lionel Messi,10.0,FW,38-363,90,2,0,0,1,7,4,0,0,0,4,1,2,2,0,0,0,0,d70ce98e,f9fddd6e,e7d8a062
Thiago Almada,16.0,LW,25-057,63,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,27f33438,f9fddd6e,e7d8a062
Julián Álvarez,9.0,"FW,MF",26-142,27,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15ab5a2b,f9fddd6e,e7d8a062
Rodrigo De Paul,7.0,RW,32-029,81,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,162efffd,f9fddd6e,e7d8a062
Leandro Paredes,5.0,MF,31-358,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,dff153a4,f9fddd6e,e7d8a062
Enzo Fernández,24.0,CM,25-156,90,0,0,0,0,2,0,0,0,2,1,0,0,1,1,0,0,0,5ff4ab71,f9fddd6e,e7d8a062
Alexis Mac Allister,20.0,CM,27-180,90,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,0,83d074ff,f9fddd6e,e7d8a062
Facundo Medina,25.0,LB,27-025,81,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,6f5ec8bb,f9fddd6e,e7d8a062
Nicolás Tagliafico,3.0,DF,33-295,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,f0661424,f9fddd6e,e7d8a062
Lisandro Martínez,6.0,CB,28-155,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,bac46a10,f9fddd6e,e7d8a062
Cristian Romero,13.0,CB,28-056,56,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,a3d94a58,f9fddd6e,e7d8a062
Nicolás Otamendi,19.0,DF,38-130,34,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0d267745,f9fddd6e,e7d8a062
Nahuel Molina,26.0,RB,28-077,90,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,23610943,f9fddd6e,e7d8a062
Emiliano Martínez,23.0,GK,33-293,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7956236f,f9fddd6e,e7d8a062
Michael Gregoritsch,11.0,FW,32-065,84,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8e235926,d5121f10,e7d8a062
Carney Chukwuemeka,17.0,MF,22-245,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,b2f9c73e,d5121f10,e7d8a062
Marcel Sabitzer,9.0,AM,32-097,90,0,0,0,0,3,1,0,0,0,1,0,7,1,1,0,0,0,e280527c,d5121f10,e7d8a062
Paul Wanner,24.0,AM,20-181,67,0,0,0,0,1,0,0,0,2,1,0,1,1,1,0,0,0,cb64672e,d5121f10,e7d8a062
Marko Arnautović,7.0,"FW,MF",37-064,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00459419,d5121f10,e7d8a062
Romano Schmid,18.0,AM,26-146,77,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,220ace7e,d5121f10,e7d8a062
Patrick Wimmer,21.0,"FW,MF",25-023,13,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,cb11b429,d5121f10,e7d8a062
Xaver Schlager,4.0,DM,28-267,90,0,0,0,0,0,0,0,0,3,0,0,1,2,1,0,0,0,8f056768,d5121f10,e7d8a062
Nicolas Seiwald,6.0,DM,25-049,90,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,28c6e925,d5121f10,e7d8a062
Konrad Laimer,20.0,LB,29-026,90,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,c1b7847c,d5121f10,e7d8a062
David Alaba,8.0,CB,33-363,66,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,05439de2,d5121f10,e7d8a062
Marco Friedl,23.0,DF,28-098,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f86ad3f5,d5121f10,e7d8a062
Kevin Danso,3.0,CB,27-276,90,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6e33125f,d5121f10,e7d8a062
Stefan Posch,5.0,RB,29-039,67,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,7f609bfc,d5121f10,e7d8a062
Alexander Prass,22.0,"DF,MF",25-027,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6637e6a7,d5121f10,e7d8a062
Alexander Schlager,1.0,GK,30-141,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6fe5c35b,d5121f10,e7d8a062
