Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Musa Al-Taamari,10.0,FW,29-012,83,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,f15f8b2b,3e22f0fa,eb19002c
Ali Azaizeh,24.0,MF,22-070,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3a46ac67,3e22f0fa,eb19002c
Mahmoud Al-Mardi,13.0,LM,32-259,75,0,0,0,0,1,1,0,0,2,1,0,3,0,0,0,0,0,1eedc1ea,3e22f0fa,eb19002c
Odeh Al-Fakhouri,11.0,MF,20-212,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30591ae5,3e22f0fa,eb19002c
Noor Al Rawabdeh,8.0,CM,29-118,90,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,3bb06c86,3e22f0fa,eb19002c
Nizar Al Rashdan,21.0,CM,27-091,90,1,0,0,0,2,1,0,0,1,2,0,0,2,0,0,0,0,feaa0ffd,3e22f0fa,eb19002c
Ali Olwan,9.0,RM,26-088,89,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,33c1d68d,3e22f0fa,eb19002c
Sharara,7.0,FW,28-174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67e2aed8,3e22f0fa,eb19002c
Mohannad Abu Taha,20.0,LB,23-140,84,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5c4bac6c,3e22f0fa,eb19002c
Mohammad Abu Hasheesh,2.0,DF,31-044,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,72c2fa7a,3e22f0fa,eb19002c
Husam Abu Dahab,4.0,CB,26-040,89,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,300aaeb6,3e22f0fa,eb19002c
Salim Obaid,17.0,DF,34-156,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,f494bf5f,3e22f0fa,eb19002c
Yazan Al-Arab,5.0,CB,30-142,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,32878a09,3e22f0fa,eb19002c
Abdallah Nasib,3.0,CB,32-117,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,aaab3072,3e22f0fa,eb19002c
Ihsan Haddad,23.0,RB,32-137,90,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,85660a5d,3e22f0fa,eb19002c
Yazeed Abulaila,1.0,GK,33-165,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5d11fc17,3e22f0fa,eb19002c
Amine Gouiri,9.0,FW,26-126,85,1,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,aad56ca3,1e2dba57,eb19002c
Zineddine Belaïd,5.0,DF,27-094,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b2562589,1e2dba57,eb19002c
Fares Chaïbi,10.0,AM,23-206,90,0,0,0,0,2,1,0,0,0,1,0,3,1,2,0,0,0,357103bd,1e2dba57,eb19002c
Ibrahim Maza,22.0,AM,20-210,90,0,0,0,0,4,2,0,0,0,1,0,1,1,0,0,0,0,89b3bc5e,1e2dba57,eb19002c
Riyad Mahrez,7.0,AM,35-121,75,0,1,0,0,1,1,0,0,0,2,0,7,1,0,0,0,0,892d5bb1,1e2dba57,eb19002c
Anis Hadj Moussa,11.0,"FW,MF",24-131,15,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,7bc7eef2,1e2dba57,eb19002c
Ramiz Zerrouki,6.0,DM,28-027,45,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,c762b1a6,1e2dba57,eb19002c
Nabil Bentaleb,19.0,MF,31-210,45,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,3189f61a,1e2dba57,eb19002c
Hicham Boudaoui,14.0,DM,26-272,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,f9d5908e,1e2dba57,eb19002c
Nadhir Benbouali,12.0,FW,26-066,45,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,cd25f2b3,1e2dba57,eb19002c
Rayan Aït-Nouri,15.0,LB,25-016,84,0,0,0,0,1,0,0,0,2,2,0,4,5,1,0,0,0,9b398aea,1e2dba57,eb19002c
Jaouen Hadjam,13.0,DF,23-088,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576817b7,1e2dba57,eb19002c
Ramy Bensebaini,21.0,CB,31-067,90,0,0,0,0,1,0,0,0,1,2,0,0,5,3,0,0,0,378825c7,1e2dba57,eb19002c
Aïssa Mandi,2.0,CB,34-243,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fbd6378b,1e2dba57,eb19002c
Rafik Belghali,17.0,RB,24-015,90,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0abcb968,1e2dba57,eb19002c
Luca Zidane,23.0,GK,28-040,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c818c4d9,1e2dba57,eb19002c
