Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Mikel Oyarzabal,21.0,FW,29-080,78,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,8c3c640c,b561dd30,ed14068b
Nico Williams,17.0,MF,23-363,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,afdc14d7,b561dd30,ed14068b
Álex Baena,15.0,AM,24-355,54,0,0,0,0,1,0,0,0,2,1,0,4,0,0,0,0,0,518f2234,b561dd30,ed14068b
Ferran Torres,7.0,"FW,MF",26-131,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9e1035f8,b561dd30,ed14068b
Dani Olmo,10.0,AM,28-064,85,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,ae44e8e2,b561dd30,ed14068b
Mikel Merino,6.0,MF,30-018,5,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,d080ed5e,b561dd30,ed14068b
Lamine Yamal,19.0,AM,18-362,90,0,0,0,0,6,2,0,0,2,4,1,6,0,0,0,0,0,82ec26c1,b561dd30,ed14068b
Fabián Ruiz Peña,8.0,DM,30-098,54,1,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,c0c7ff58,b561dd30,ed14068b
Pedri,20.0,MF,23-227,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0d9b2d31,b561dd30,ed14068b
Rodri,16.0,DM,30-018,90,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,6434f10d,b561dd30,ed14068b
Marc Cucurella,24.0,LB,27-353,90,0,0,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,1daec722,b561dd30,ed14068b
Aymeric Laporte,14.0,CB,32-044,90,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,119b9a8e,b561dd30,ed14068b
Pau Cubarsí,22.0,CB,19-169,90,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,cc7888f3,b561dd30,ed14068b
Pedro Porro,12.0,RB,26-300,90,0,0,0,0,1,0,0,0,4,2,0,3,2,1,0,0,0,27d0a506,b561dd30,ed14068b
Unai Simón,23.0,GK,29-029,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5dcf3e90,b561dd30,ed14068b
Charles De Ketelaere,17.0,FW,25-122,90,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2ef7c612,361422b9,ed14068b
Jeremy Doku,11.0,AM,24-044,90,0,0,0,0,0,0,0,0,3,5,0,2,1,2,0,0,0,fffea3e5,361422b9,ed14068b
Kevin De Bruyne,7.0,AM,35-012,85,0,0,0,0,2,1,1,0,2,1,0,1,1,0,0,0,0,e46012d4,361422b9,ed14068b
Alexis Saelemaekers,22.0,MF,27-013,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ee251371,361422b9,ed14068b
Leandro Trossard,10.0,AM,31-218,59,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,38ceb24a,361422b9,ed14068b
Axel Witsel,6.0,"DF,MF",37-179,31,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,5dfc6ad5,361422b9,ed14068b
Nicolas Raskin,23.0,DM,25-137,90,0,0,0,0,0,0,0,0,5,2,0,3,1,2,0,0,0,dba1f190,361422b9,ed14068b
Hans Vanaken,20.0,DM,33-320,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,392a7aea,361422b9,ed14068b
Romelu Lukaku,9.0,FW,33-058,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5eae500a,361422b9,ed14068b
Maxim De Cuyper,5.0,LB,25-200,60,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,d494882e,361422b9,ed14068b
Joaquin Seys,18.0,DF,21-104,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0beabf0a,361422b9,ed14068b
Brandon Mechele,4.0,CB,33-163,90,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0a6dbbf7,361422b9,ed14068b
Nathan Ngoy,25.0,CB,23-030,90,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,eb7abf2e,361422b9,ed14068b
Timothy Castagne,21.0,RB,30-217,90,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,197640fd,361422b9,ed14068b
Thibaut Courtois,1.0,GK,34-060,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840e36d,361422b9,ed14068b
Senne Lammens,12.0,GK,24-003,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e6d2fcd,361422b9,ed14068b
