Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Adam Hložek,9.0,FW,23-334,63,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,5521f419,2740937c,f26b468c
Patrik Schick,10.0,FW,30-151,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5d4f7d61,2740937c,f26b468c
Denis Višinský,26.0,FW,23-095,55,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,d5aac0e9,2740937c,f26b468c
Lukáš Provod,17.0,"FW,MF",29-244,35,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,8f21b7bd,2740937c,f26b468c
Pavel Šulc,15.0,FW,25-177,90,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,e9b893af,2740937c,f26b468c
David Douděra,21.0,LM,28-024,90,0,0,0,0,4,0,0,0,0,1,0,5,0,1,0,0,0,e95b4604,2740937c,f26b468c
Michal Sadílek,18.0,CM,27-024,90,0,0,0,0,2,0,0,0,0,2,0,7,2,1,0,0,0,7c9fa389,2740937c,f26b468c
Lukáš Červ,12.0,CM,25-075,86,0,0,0,0,2,1,0,0,1,1,0,0,3,0,0,0,0,bb4a41bc,2740937c,f26b468c
Tomáš Chorý,19.0,FW,31-149,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163bbd4a,2740937c,f26b468c
Vladimír Coufal,5.0,RM,33-306,90,0,0,0,0,1,0,0,0,1,2,0,8,0,0,0,0,0,fdf3cb77,2740937c,f26b468c
Ladislav Krejčí,7.0,CB,27-065,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5b5c2228,2740937c,f26b468c
Robin Hranáč,4.0,CB,26-146,90,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,95d5aea2,2740937c,f26b468c
Tomáš Holeš,3.0,CB,33-085,63,0,0,0,0,0,0,0,0,1,2,0,0,3,1,0,0,0,e03c2d97,2740937c,f26b468c
Tomáš Souček,22.0,MF,31-117,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6613c819,2740937c,f26b468c
Alexandr Sojka,24.0,MF,23-083,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,765b7bfc,2740937c,f26b468c
Matej Kovar,1.0,GK,26-038,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bc67a0e1,2740937c,f26b468c
Guillermo Martínez Ayala,22.0,FW,31-101,62,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,59146354,b009a548,f26b468c
Santiago Giménez,11.0,FW,25-067,28,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,37337aea,b009a548,f26b468c
Julián Quiñones,16.0,FW,29-092,90,1,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,5535c728,b009a548,f26b468c
Roberto Alvarado,25.0,FW,27-290,90,0,1,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,ff871e14,b009a548,f26b468c
Luis Romo,7.0,CM,31-019,62,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,e590bb10,b009a548,f26b468c
Obed Vargas,18.0,MF,20-323,28,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9cc1fde4,b009a548,f26b468c
Gilberto Mora,19.0,CM,17-253,71,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,69c9ffe8,b009a548,f26b468c
Álvaro Fidalgo,8.0,MF,29-076,19,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,c705cdc4,b009a548,f26b468c
Edson Álvarez,4.0,DM,28-243,90,0,0,0,0,0,0,1,0,4,1,0,0,3,1,0,0,0,8b3ab7ad,b009a548,f26b468c
Mateo Chávez,20.0,LB,22-043,77,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,f82246a1,b009a548,f26b468c
Jesús Gallardo,23.0,"DF,MF",31-313,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,d0846b6c,b009a548,f26b468c
Israel Reyes,15.0,CB,26-032,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0db8bbc4,b009a548,f26b468c
César Montes,3.0,CB,29-120,90,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,28e957d7,b009a548,f26b468c
Jorge Sánchez,2.0,RB,28-196,90,0,1,0,0,1,1,0,0,1,1,0,5,1,2,0,0,0,c8d1c3a5,b009a548,f26b468c
Raúl Rangel,1.0,GK,26-119,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15f733fb,b009a548,f26b468c
Guillermo Ochoa,13.0,GK,40-346,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e9bde92,b009a548,f26b468c
