Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Luis Suárez,25.0,FW,28-203,57,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,eeba07f8,ab73cfe5,f2e8741b
Jhon Córdoba,9.0,FW,33-043,33,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,9f381d8b,ab73cfe5,f2e8741b
Luis Díaz,7.0,FW,29-161,90,0,0,0,0,5,2,0,0,3,0,5,0,0,0,0,0,0,4a1a9578,ab73cfe5,f2e8741b
James Rodríguez,10.0,FW,34-346,57,0,0,0,0,1,1,0,0,0,2,0,5,0,1,0,0,0,715bf047,ab73cfe5,f2e8741b
Juan Quintero,20.0,"FW,MF",33-156,33,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,540d0b37,ab73cfe5,f2e8741b
Jhon Arias,11.0,CM,28-275,76,0,0,0,0,2,1,0,0,0,1,0,1,3,2,0,0,0,86d96066,ab73cfe5,f2e8741b
Richard Ríos,6.0,MF,26-021,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,72da065d,ab73cfe5,f2e8741b
Gustavo Puerta,14.0,CM,22-335,90,0,0,0,0,5,2,0,0,1,4,0,1,1,1,0,0,0,2c08cab0,ab73cfe5,f2e8741b
Jefferson Lerma,16.0,DM,31-241,90,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,9b5ce51a,ab73cfe5,f2e8741b
Johan Mojica,17.0,LB,33-306,90,0,0,0,0,1,1,0,0,0,2,0,2,1,2,0,0,0,608f2092,ab73cfe5,f2e8741b
Jhon Lucumí,3.0,CB,27-362,90,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,80490d7f,ab73cfe5,f2e8741b
Davinson Sánchez,23.0,CB,30-011,90,0,0,0,0,1,1,0,0,1,1,0,0,1,2,0,0,0,da7b447d,ab73cfe5,f2e8741b
Daniel Muñoz,2.0,RB,30-028,90,1,0,0,0,2,1,0,0,2,0,1,1,0,0,0,0,0,778ef829,ab73cfe5,f2e8741b
Camilo Vargas,12.0,GK,37-106,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,004e3d0f,ab73cfe5,f2e8741b
Yoane Wissa,20.0,FW,29-293,90,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2500cef9,9be9f315,f2e8741b
Cédric Bakambu,17.0,FW,35-073,56,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0af4dcf0,9be9f315,f2e8741b
Simon Banza,23.0,"FW,MF",29-314,34,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,be47b750,9be9f315,f2e8741b
Edo Kayembe,25.0,CM,28-020,71,0,0,0,0,1,0,0,0,3,1,0,2,0,0,0,0,0,f99b71de,9be9f315,f2e8741b
Charles Pickel,18.0,"DF,MF",29-039,19,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,f71ad8cb,9be9f315,f2e8741b
Samuel Moutoussamy,8.0,CM,29-315,81,0,0,0,0,1,0,0,0,3,0,0,1,2,1,0,0,0,af0c835b,9be9f315,f2e8741b
Nathanaël Mbuku,7.0,MF,24-099,9,0,0,0,0,1,1,0,0,1,2,0,2,0,0,0,0,0,46750e9c,9be9f315,f2e8741b
Ngal'Ayel Mukau,6.0,CM,21-232,45,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,bb461b8a,9be9f315,f2e8741b
Noah Sadiki,14.0,MF,21-188,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645481cc,9be9f315,f2e8741b
Arthur Masuaku,26.0,LB,32-228,71,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,57df7a11,9be9f315,f2e8741b
Joris Kayembe,12.0,"DF,FW",31-319,19,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,4657faba,9be9f315,f2e8741b
Steve Kapuadi,3.0,CB,28-054,90,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3f3c941a,9be9f315,f2e8741b
Axel Tuanzebe,4.0,CB,28-221,90,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2baec6ce,9be9f315,f2e8741b
Chancel Mbemba,22.0,CB,31-319,90,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,e76cb9cc,9be9f315,f2e8741b
Aaron Wan-Bissaka,2.0,RB,28-209,90,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,9e525177,9be9f315,f2e8741b
Lionel Mpasi,1.0,GK,31-326,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5c6b0637,9be9f315,f2e8741b
