Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Chris Wood,9.0,FW,34-201,90,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,4e9a0555,259855f0,f527457d
Elijah Just,11.0,AM,26-056,90,1,0,0,0,3,2,1,0,1,0,0,1,1,1,0,0,0,0c295d6e,259855f0,f527457d
Ryan Thomas,23.0,AM,31-188,45,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,95efdac2,259855f0,f527457d
Ben Old,19.0,MF,23-317,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,e14e818c,259855f0,f527457d
Sarpreet Singh,10.0,AM,27-126,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4ba886c6,259855f0,f527457d
Jesse Randall,21.0,MF,23-311,45,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,513ec88e,259855f0,f527457d
Marko Stamenic,8.0,DM,24-127,90,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,690d1049,259855f0,f527457d
Joe Bell,6.0,DM,27-060,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7825847e,259855f0,f527457d
Callum McCowatt,20.0,"FW,MF",27-057,27,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3fc42049,259855f0,f527457d
Liberato Cacace,13.0,LB,25-272,78,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,0,0,dd86e8e4,259855f0,f527457d
Francis de Vries,3.0,DF,31-210,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90a63dda,259855f0,f527457d
Tyler Bindon,4.0,CB,21-150,90,0,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,0,3575e5eb,259855f0,f527457d
Finn Surman,16.0,CB,22-276,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,016e419b,259855f0,f527457d
Tim Payne,2.0,RB,32-167,63,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,4e86877c,259855f0,f527457d
Michael Boxall,5.0,DF,37-312,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6bfa0d3a,259855f0,f527457d
Max Crocombe,1.0,GK,32-318,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fdf47077,259855f0,f527457d
Charles De Ketelaere,17.0,FW,25-108,84,0,0,0,0,1,1,0,0,2,1,0,0,2,0,0,0,0,2ef7c612,361422b9,f527457d
Romelu Lukaku,9.0,FW,33-044,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5eae500a,361422b9,f527457d
Leandro Trossard,10.0,AM,31-204,71,2,0,0,0,7,2,0,0,1,1,0,0,0,1,0,0,0,38ceb24a,361422b9,f527457d
Alexis Saelemaekers,22.0,MF,26-364,19,1,0,0,0,2,1,0,0,0,2,1,0,1,0,0,0,0,ee251371,361422b9,f527457d
Kevin De Bruyne,7.0,AM,34-363,71,1,0,0,0,7,2,0,0,0,0,0,4,1,0,0,0,0,e46012d4,361422b9,f527457d
Amadou Onana,24.0,MF,24-314,19,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,828657ff,361422b9,f527457d
Jeremy Doku,11.0,AM,24-030,55,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,fffea3e5,361422b9,f527457d
Matias Fernandez-Pardo,26.0,"FW,MF",21-143,35,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0cdb6a2a,361422b9,f527457d
Hans Vanaken,20.0,DM,33-306,90,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,392a7aea,361422b9,f527457d
Youri Tielemans,8.0,DM,29-050,84,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,56f7a928,361422b9,f527457d
Nicolas Raskin,23.0,MF,25-123,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dba1f190,361422b9,f527457d
Maxim De Cuyper,5.0,LB,25-186,90,0,0,0,0,2,1,0,0,1,0,0,3,1,2,0,0,0,d494882e,361422b9,f527457d
Brandon Mechele,4.0,CB,33-149,90,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0a6dbbf7,361422b9,f527457d
Arthur Theate,3.0,CB,26-032,90,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,df8d6029,361422b9,f527457d
Timothy Castagne,21.0,RB,30-203,90,0,0,0,0,1,0,0,0,0,0,0,5,0,4,0,0,0,197640fd,361422b9,f527457d
Thibaut Courtois,1.0,GK,34-046,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840e36d,361422b9,f527457d
