Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Folarin Balogun,20.0,FW,24-344,71,2,0,0,0,5,3,0,0,0,4,2,0,0,0,0,0,0,31822f8c,0f66725b,f6c0596c
Ricardo Pepi,9.0,FW,23-154,19,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,a2b1ed42,0f66725b,f6c0596c
Christian Pulisic,10.0,AM,27-267,45,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,1bf33a9a,0f66725b,f6c0596c
Sebastian Berhalter,14.0,MF,25-033,45,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,f33ee427,0f66725b,f6c0596c
Weston McKennie,8.0,AM,27-288,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,01c3aff5,0f66725b,f6c0596c
Sergiño Dest,2.0,AM,25-221,71,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,5976f83e,0f66725b,f6c0596c
Timothy Weah,21.0,"DF,FW",26-110,19,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,8eec784d,0f66725b,f6c0596c
Malik Tillman,17.0,DM,24-015,81,0,1,0,0,5,2,0,0,1,4,0,1,0,1,0,0,0,a5420709,0f66725b,f6c0596c
Gio Reyna,7.0,MF,23-211,9,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,7fa4e703,0f66725b,f6c0596c
Tyler Adams,4.0,DM,27-118,90,0,0,0,0,0,0,1,0,2,3,0,0,2,3,0,0,0,2b09d998,0f66725b,f6c0596c
Antonee Robinson,5.0,LB,28-308,90,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,289601e6,0f66725b,f6c0596c
Tim Ream,13.0,CB,38-250,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,28b40c9c,0f66725b,f6c0596c
Chris Richards,3.0,CB,26-076,90,0,0,0,0,1,0,0,0,3,1,0,0,1,1,0,0,0,0a3d6d2b,0f66725b,f6c0596c
Alex Freeman,16.0,RB,21-307,90,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,754f150b,0f66725b,f6c0596c
Matt Freese,24.0,GK,27-283,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2f49476c,0f66725b,f6c0596c
Antonio Sanabria,9.0,FW,30-100,61,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0a447501,d2043442,f6c0596c
Álex Arce,18.0,FW,30-361,29,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,10411db2,d2043442,f6c0596c
Julio Enciso,19.0,FW,22-140,90,0,1,0,0,2,0,0,0,0,4,0,1,2,0,0,0,0,9cfbad36,d2043442,f6c0596c
Miguel Almirón,10.0,LW,32-122,78,0,0,0,0,2,0,1,0,1,1,0,0,1,1,0,0,0,862a1c15,d2043442,f6c0596c
Ramón Sosa,7.0,"FW,MF",26-285,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2d3417a1,d2043442,f6c0596c
Diego Gómez,8.0,RW,23-077,79,0,0,0,0,4,0,1,0,1,0,0,0,1,2,0,0,0,916728da,d2043442,f6c0596c
Kaku,17.0,MF,31-152,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,cb01ad74,d2043442,f6c0596c
Damián Bobadilla,16.0,CM,24-336,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,ad7d6437,d2043442,f6c0596c
Mauricio,11.0,MF,25-021,45,1,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,bf4cbc22,d2043442,f6c0596c
Andrés Cubas,14.0,CM,30-021,90,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,9b40a6ea,d2043442,f6c0596c
Júnior Alonso,6.0,LB,33-123,90,0,0,0,0,0,0,1,0,1,1,0,1,2,2,0,0,0,b18a3023,d2043442,f6c0596c
Omar Alderete,3.0,CB,29-168,90,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,bb08bce9,d2043442,f6c0596c
Gustavo Gómez,15.0,CB,33-037,90,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,d5ce52a5,d2043442,f6c0596c
Juan Cáceres,4.0,RB,26-011,78,0,0,0,0,0,0,1,0,3,2,0,3,3,0,0,0,0,db887bdf,d2043442,f6c0596c
Gustavo Velásquez,2.0,DF,35-056,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b99b4cf5,d2043442,f6c0596c
Orlando Gill,12.0,GK,26-001,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0d425331,d2043442,f6c0596c
