Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Tani Oluwaseyi,12.0,FW,26-028,75,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,950ef017,9c6d90a0,f6d2bd84
Cyle Larin,9.0,"FW,MF",31-056,15,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,e7af9060,9c6d90a0,f6d2bd84
Jonathan David,10.0,FW,26-149,60,0,0,0,0,3,1,0,0,0,1,0,0,1,1,0,0,0,ce50fd99,9c6d90a0,f6d2bd84
Promise David,24.0,FW,24-344,30,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,dbe19468,9c6d90a0,f6d2bd84
Liam Millar,11.0,LW,26-258,60,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,983515f8,9c6d90a0,f6d2bd84
Jacob Shaffelburg,14.0,MF,26-198,30,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,339a2561,9c6d90a0,f6d2bd84
Tajon Buchanan,17.0,RW,27-124,60,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,3aca6420,9c6d90a0,f6d2bd84
Ali Ahmed,20.0,MF,25-245,30,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,540a5be1,9c6d90a0,f6d2bd84
Stephen Eustáquio,7.0,CM,29-173,89,0,0,0,0,1,0,0,0,2,3,0,9,0,0,0,0,0,577efaec,9c6d90a0,f6d2bd84
Jonathan Osorio,21.0,MF,34-000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70106ff6,9c6d90a0,f6d2bd84
Ismaël Koné,8.0,CM,23-361,90,0,0,0,0,1,0,0,0,1,2,0,2,1,2,0,0,0,e0220b70,9c6d90a0,f6d2bd84
Richie Laryea,22.0,LB,31-156,90,0,0,0,0,1,1,0,0,0,1,0,0,4,0,0,0,0,276fdbe4,9c6d90a0,f6d2bd84
Derek Cornelius,13.0,CB,28-199,90,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,577744b8,9c6d90a0,f6d2bd84
Luc De Fougerolles,4.0,CB,20-243,90,0,0,0,0,0,0,1,0,2,4,0,0,2,0,0,0,0,45c427ff,9c6d90a0,f6d2bd84
Alistair Johnston,2.0,RB,27-247,90,0,0,0,0,1,0,1,0,2,2,0,2,1,0,0,0,0,4fb17e20,9c6d90a0,f6d2bd84
Maxime Crépeau,16.0,GK,32-032,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ea42e480,9c6d90a0,f6d2bd84
Jovo Lukić,25.0,FW,27-196,61,1,0,0,0,3,2,1,0,1,0,0,0,1,0,0,0,0,a2056e82,6c5ef1c3,f6d2bd84
Samed Baždar,9.0,FW,22-132,29,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,e59c9d0d,6c5ef1c3,f6d2bd84
Ermedin Demirović,10.0,FW,28-079,90,0,0,0,0,1,1,1,0,4,1,0,0,0,0,0,0,0,ed79b7d3,6c5ef1c3,f6d2bd84
Amar Memić,15.0,LW,25-143,73,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,918c187c,6c5ef1c3,f6d2bd84
Kerim Alajbegović,19.0,MF,18-264,17,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,f3d9291e,6c5ef1c3,f6d2bd84
Esmir Bajraktarevic,20.0,RW,21-094,73,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,dff24174,6c5ef1c3,f6d2bd84
Ivan Šunjić,14.0,MF,29-246,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,e18098de,6c5ef1c3,f6d2bd84
Benjamin Tahirovic,6.0,CM,23-101,90,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0,eb3022c3,6c5ef1c3,f6d2bd84
Ivan Bašić,13.0,CM,24-043,61,0,0,0,0,0,0,0,0,2,0,0,5,0,2,0,0,0,9b0a0d51,6c5ef1c3,f6d2bd84
Armin Gigovic,8.0,MF,24-067,29,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,d0a0858e,6c5ef1c3,f6d2bd84
Sead Kolašinac,5.0,LB,32-357,83,0,1,0,0,0,0,0,0,3,2,0,2,3,0,0,0,0,3935e52e,6c5ef1c3,f6d2bd84
Dženis Burnić,17.0,MF,28-021,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0dabaf14,6c5ef1c3,f6d2bd84
Tarik Muharemovic,4.0,CB,23-104,90,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0,0,0,426dda23,6c5ef1c3,f6d2bd84
Nikola Katić,18.0,CB,29-245,90,0,0,0,0,0,0,1,0,2,0,0,0,4,3,0,0,0,35bd124a,6c5ef1c3,f6d2bd84
Amar Dedić,7.0,RB,23-298,90,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,bc6e544a,6c5ef1c3,f6d2bd84
Nikola Vasilj,1.0,GK,30-192,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f038585f,6c5ef1c3,f6d2bd84
