Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Elye Wahi,12.0,FW,23-163,55,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0d7b6576,24772b12,f8ee7eef
Ange-Yoan Bonny,9.0,FW,22-232,35,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,64629ba4,24772b12,f8ee7eef
Nicolas Pépé,19.0,FW,31-016,76,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,57e3f0c7,24772b12,f8ee7eef
Christ Inao Oulaï,26.0,MF,20-069,14,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,62709ee4,24772b12,f8ee7eef
Bazoumana Touré,24.0,LW,20-104,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,93945a50,24772b12,f8ee7eef
Amad Diallo,15.0,"FW,MF",23-338,35,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,9dc96f10,24772b12,f8ee7eef
Yan Diomandé,11.0,RW,19-212,90,0,0,0,0,2,0,0,0,0,2,0,3,2,2,0,0,0,919f5f54,24772b12,f8ee7eef
Seko Fofana,6.0,CM,31-038,76,0,0,0,0,4,1,1,0,1,0,0,0,0,2,0,0,0,5313ed43,24772b12,f8ee7eef
Ibrahim Sangaré,18.0,MF,28-194,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bced0375,24772b12,f8ee7eef
Franck Kessié,8.0,CM,29-177,90,0,0,0,0,0,0,1,0,3,2,0,0,2,0,0,0,0,05e19d6a,24772b12,f8ee7eef
Ghislain Konan,3.0,LB,30-169,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6b2c894b,24772b12,f8ee7eef
Emmanuel Agbadou,20.0,CB,28-362,90,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,75f1ed80,24772b12,f8ee7eef
Wilfried Singo,5.0,CB,25-171,90,0,1,0,0,1,0,0,0,2,1,0,0,0,3,0,0,0,8b609c34,24772b12,f8ee7eef
Guéla Doué,17.0,RB,23-240,88,0,0,0,0,0,0,1,0,3,2,0,2,1,1,0,0,0,b4ef3fb5,24772b12,f8ee7eef
Odilon Kossounou,7.0,DF,25-161,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1f3afdcb,24772b12,f8ee7eef
Yahia Fofana,1.0,GK,25-297,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d420dad,24772b12,f8ee7eef
Enner Valencia,13.0,FW,36-222,76,0,0,0,0,1,0,0,0,2,4,0,0,1,0,0,0,0,fb485406,123acaf8,f8ee7eef
Kevin Rodríguez,11.0,FW,26-102,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189fb038,123acaf8,f8ee7eef
Gonzalo Plata,19.0,FW,25-225,90,0,0,0,0,1,1,0,0,1,0,0,2,3,0,0,0,0,54bcdeb0,123acaf8,f8ee7eef
Alan Minda,14.0,LW,23-031,55,0,0,0,0,2,0,0,0,0,1,0,2,0,1,0,0,0,9cfd5b00,123acaf8,f8ee7eef
Nilson Angulo,20.0,"FW,MF",22-360,35,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,a9b9d89c,123acaf8,f8ee7eef
John Yeboah,9.0,RW,25-356,61,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,8dfdc6c3,123acaf8,f8ee7eef
Ángelo Preciado,17.0,"DF,MF",28-116,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,eadc8e4f,123acaf8,f8ee7eef
Pedro Vite,15.0,CM,24-097,90,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,9c146b36,123acaf8,f8ee7eef
Moisés Caicedo,23.0,CM,24-224,90,0,0,0,0,1,0,0,0,3,2,0,4,1,2,0,0,0,16264a81,123acaf8,f8ee7eef
Piero Hincapié,3.0,LB,24-156,90,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0,0c7a48f8,123acaf8,f8ee7eef
Willian Pacho,6.0,CB,24-241,90,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,ecbe2839,123acaf8,f8ee7eef
Joel Ordóñez,4.0,CB,22-054,90,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,2990a15c,123acaf8,f8ee7eef
Alan Franco,21.0,RB,27-297,61,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,c76b161b,123acaf8,f8ee7eef
Jackson Porozo,25.0,DF,25-314,29,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,7d704e92,123acaf8,f8ee7eef
Hernán Galíndez,1.0,GK,39-076,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89c136f6,123acaf8,f8ee7eef
