Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Donyell Malen,18.0,FW,27-156,69,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,116c35df,5bb5024a,faa0cb98
Memphis,10.0,"FW,MF",32-121,21,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,8f696594,5bb5024a,faa0cb98
Cody Gakpo,11.0,FW,27-038,84,0,0,0,0,2,1,0,0,0,1,1,2,0,1,0,0,0,1971591f,5bb5024a,faa0cb98
Brian Brobbey,19.0,FW,24-133,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4c184730,5bb5024a,faa0cb98
Crysencio Summerville,24.0,FW,24-227,69,1,0,0,0,1,1,1,0,1,3,0,2,0,0,0,0,0,df04eb4b,5bb5024a,faa0cb98
Teun Koopmeiners,20.0,"DF,MF",28-106,21,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,a26fb8aa,5bb5024a,faa0cb98
Tijjani Reijnders,14.0,CM,27-320,70,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,afb61630,5bb5024a,faa0cb98
Quinten Timber,26.0,MF,24-362,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,803e7aca,5bb5024a,faa0cb98
Ryan Gravenberch,8.0,CM,24-029,80,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,b8e740fb,5bb5024a,faa0cb98
Nathan Aké,5.0,"DF,MF",31-116,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eaeca114,5bb5024a,faa0cb98
Frenkie de Jong,21.0,DM,29-033,90,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,1bacc518,5bb5024a,faa0cb98
Micky van de Ven,15.0,LB,25-056,90,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,0,0,8fe2a392,5bb5024a,faa0cb98
Virgil van Dijk,4.0,CB,34-341,90,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,e06683ca,5bb5024a,faa0cb98
Jan Paul van Hecke,6.0,CB,26-006,90,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,4fd08daa,5bb5024a,faa0cb98
Denzel Dumfries,22.0,RB,30-057,90,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,481c9ece,5bb5024a,faa0cb98
Bart Verbruggen,1.0,GK,23-300,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cf134113,5bb5024a,faa0cb98
Ayase Ueda,18.0,FW,27-277,83,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,c0295327,ffcf1690,faa0cb98
Kento Shiogai,26.0,FW,21-080,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6bc2fef7,ffcf1690,faa0cb98
Daizen Maeda,11.0,AM,28-237,65,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,395451fc,ffcf1690,faa0cb98
Junya Itō,14.0,"FW,MF",33-097,25,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,dbd3a428,ffcf1690,faa0cb98
Takefusa Kubo,8.0,AM,25-010,74,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,16aa3654,ffcf1690,faa0cb98
Kōki Ogawa,19.0,FW,28-310,16,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3d2e8955,ffcf1690,faa0cb98
Keito Nakamura,13.0,DM,25-321,90,1,0,0,0,3,1,0,0,2,1,0,5,1,1,0,0,0,d97af612,ffcf1690,faa0cb98
Daichi Kamada,15.0,DM,29-313,90,1,0,0,0,1,1,0,0,0,0,0,2,3,1,0,0,0,15b287da,ffcf1690,faa0cb98
Kaishū Sano,24.0,DM,25-166,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7a7a6361,ffcf1690,faa0cb98
Ritsu Doan,10.0,DM,27-363,74,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,d01bbb6f,ffcf1690,faa0cb98
Yukinari Sugawara,2.0,"DF,FW",25-351,16,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,580bcd18,ffcf1690,faa0cb98
Hiroki Ito,21.0,CB,27-033,90,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,204dded0,ffcf1690,faa0cb98
Shogo Taniguchi,3.0,CB,34-334,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,828a9c47,ffcf1690,faa0cb98
Tsuyoshi Watanabe,16.0,CB,29-129,74,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,d5f5955a,ffcf1690,faa0cb98
Takehiro Tomiyasu,22.0,DF,27-221,16,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,b3af9be1,ffcf1690,faa0cb98
Zion Suzuki,1.0,GK,23-297,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51e1f4f5,ffcf1690,faa0cb98
