Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Breel Embolo,7.0,FW,29-143,86,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0b4f388a,81021a70,fb7171eb
Cedric Itten,26.0,"FW,MF",29-192,34,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,ef233486,81021a70,fb7171eb
Dan Ndoye,11.0,FW,25-255,89,0,0,0,0,2,1,0,0,2,5,2,2,2,3,0,0,0,8e697a8f,81021a70,fb7171eb
Ruben Vargas,17.0,"FW,MF",27-336,31,0,0,0,0,0,0,0,0,1,2,1,2,0,1,0,0,0,6ecbddf6,81021a70,fb7171eb
Fabian Rieder,22.0,FW,24-141,102,0,0,0,0,3,1,0,0,1,2,0,4,0,0,0,0,0,c2bd8585,81021a70,fb7171eb
Zeki Amdouni,23.0,"FW,MF",25-215,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2ee5b0c9,81021a70,fb7171eb
Ardon Jashari,14.0,CM,23-342,45,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,889588db,81021a70,fb7171eb
Djibril Sow,15.0,MF,29-151,75,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4c6facae,81021a70,fb7171eb
Remo Freuler,8.0,CM,34-083,120,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,98d2c2c4,81021a70,fb7171eb
Granit Xhaka,10.0,DM,33-283,120,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,e61b8aee,81021a70,fb7171eb
Ricardo Rodríguez,13.0,LB,33-316,70,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,7f78ad23,81021a70,fb7171eb
Miro Muheim,2.0,"DF,MF",28-105,50,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,0,0,844c6a91,81021a70,fb7171eb
Manuel Akanji,5.0,CB,30-353,120,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,89ac64a6,81021a70,fb7171eb
Nico Elvedi,4.0,CB,29-280,120,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,48035304,81021a70,fb7171eb
Denis Zakaria,6.0,RB,29-229,86,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,384d58d9,81021a70,fb7171eb
Silvan Widmer,3.0,"DF,MF",33-124,34,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,f68b64fc,81021a70,fb7171eb
Gregor Kobel,1.0,GK,28-213,120,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,cd59b9df,81021a70,fb7171eb
Luis Suárez,25.0,FW,28-217,81,0,0,0,0,2,0,1,0,2,2,0,0,0,0,0,0,0,eeba07f8,ab73cfe5,fb7171eb
Cucho,19.0,"FW,MF",27-078,39,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,71b47ab9,ab73cfe5,fb7171eb
Luis Díaz,7.0,AM,29-175,120,0,0,0,0,3,1,0,0,3,4,0,1,0,1,0,0,0,4a1a9578,ab73cfe5,fb7171eb
James Rodríguez,10.0,AM,34-360,65,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,715bf047,ab73cfe5,fb7171eb
Juan Quintero,20.0,"FW,MF",33-170,55,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,540d0b37,ab73cfe5,fb7171eb
Jhon Arias,11.0,AM,28-289,65,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,86d96066,ab73cfe5,fb7171eb
Jaminton Campaz,21.0,"FW,MF",26-044,55,0,0,0,0,2,1,0,0,2,2,2,0,0,0,0,0,0,8d5ceef2,ab73cfe5,fb7171eb
Gustavo Puerta,14.0,DM,22-349,120,0,0,0,0,2,1,0,0,1,1,0,0,1,1,0,0,0,2c08cab0,ab73cfe5,fb7171eb
Jefferson Lerma,16.0,DM,31-255,81,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,0,9b5ce51a,ab73cfe5,fb7171eb
Richard Ríos,6.0,MF,26-035,39,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,72da065d,ab73cfe5,fb7171eb
Johan Mojica,17.0,LB,33-320,120,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,608f2092,ab73cfe5,fb7171eb
Jhon Lucumí,3.0,CB,28-011,118,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,80490d7f,ab73cfe5,fb7171eb
Yerry Mina,13.0,DF,31-287,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6d5701f2,ab73cfe5,fb7171eb
Davinson Sánchez,23.0,CB,30-025,120,0,0,0,0,1,0,1,0,3,2,0,0,0,1,0,0,0,da7b447d,ab73cfe5,fb7171eb
Daniel Muñoz,2.0,RB,30-042,120,0,0,0,0,0,0,0,0,4,0,1,3,0,2,0,0,0,778ef829,ab73cfe5,fb7171eb
Camilo Vargas,12.0,GK,37-120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,004e3d0f,ab73cfe5,fb7171eb
