Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Cristiano Ronaldo,7.0,FW,41-151,90,0,0,0,0,3,2,0,0,0,2,1,0,0,0,0,0,0,dea698d9,4a1b4ea8,fe9daeb3
João Félix,11.0,AM,26-238,70,0,0,0,0,0,0,0,0,2,4,0,0,1,2,0,0,0,8aafd64f,4a1b4ea8,fe9daeb3
Rafael Leão,17.0,"FW,MF",27-026,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20730eae,4a1b4ea8,fe9daeb3
Bruno Fernandes,8.0,AM,31-301,90,0,0,0,0,1,0,0,0,0,1,1,5,0,0,0,0,0,507c7bdf,4a1b4ea8,fe9daeb3
Pedro Neto,18.0,AM,26-119,82,0,0,0,0,1,0,0,0,1,1,0,2,1,0,0,0,0,7ba2eaa9,4a1b4ea8,fe9daeb3
Francisco Conceição,26.0,MF,23-204,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5ef3d210,4a1b4ea8,fe9daeb3
João Neves,15.0,DM,21-282,90,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,c2a15a27,4a1b4ea8,fe9daeb3
Vitinha,23.0,DM,26-143,82,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3b029691,4a1b4ea8,fe9daeb3
Bernardo Silva,10.0,"FW,MF",31-330,8,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,3eb22ec9,4a1b4ea8,fe9daeb3
Nuno Mendes,25.0,LB,24-017,55,0,0,0,0,1,0,0,0,0,1,0,3,3,0,0,0,0,f20e4cc9,4a1b4ea8,fe9daeb3
Nélson Semedo,2.0,"DF,MF",32-232,35,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,d04b94db,4a1b4ea8,fe9daeb3
Renato Veiga,13.0,CB,22-342,90,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,fc8fcbd1,4a1b4ea8,fe9daeb3
Rúben Dias,3.0,CB,29-053,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31c69ef1,4a1b4ea8,fe9daeb3
João Cancelo,20.0,RB,32-040,70,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,bd6351cd,4a1b4ea8,fe9daeb3
Diogo Dalot,5.0,"DF,MF",27-110,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,d9565625,4a1b4ea8,fe9daeb3
Diogo Costa,1.0,GK,26-290,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93fffbcf,4a1b4ea8,fe9daeb3
Mikel Oyarzabal,21.0,FW,29-076,89,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,8c3c640c,b561dd30,fe9daeb3
Borja Iglesias,26.0,FW,33-170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75645f0e,b561dd30,fe9daeb3
Álex Baena,15.0,AM,24-351,74,0,0,0,0,3,2,0,0,1,1,0,7,3,1,0,0,0,518f2234,b561dd30,fe9daeb3
Ferrán Torres,7.0,"FW,MF",26-127,16,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,9e1035f8,b561dd30,fe9daeb3
Dani Olmo,10.0,AM,28-060,84,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,ae44e8e2,b561dd30,fe9daeb3
Mikel Merino,6.0,MF,30-014,6,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,d080ed5e,b561dd30,fe9daeb3
Lamine Yamal,19.0,AM,18-358,90,0,0,0,0,3,2,0,0,5,2,1,3,4,1,0,0,0,82ec26c1,b561dd30,fe9daeb3
Pedri,20.0,DM,23-223,84,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0d9b2d31,b561dd30,fe9daeb3
Fabián Ruiz Peña,8.0,MF,30-094,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,c0c7ff58,b561dd30,fe9daeb3
Rodri,16.0,DM,30-014,90,0,0,0,0,1,0,0,0,1,0,0,1,4,0,0,0,0,6434f10d,b561dd30,fe9daeb3
Marc Cucurella,24.0,LB,27-349,90,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1daec722,b561dd30,fe9daeb3
Aymeric Laporte,14.0,CB,32-040,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,119b9a8e,b561dd30,fe9daeb3
Pau Cubarsí,22.0,CB,19-165,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,cc7888f3,b561dd30,fe9daeb3
Pedro Porro,12.0,RB,26-296,90,0,0,0,0,1,0,0,0,1,2,0,2,2,1,0,0,0,27d0a506,b561dd30,fe9daeb3
Unai Simón,23.0,GK,29-025,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5dcf3e90,b561dd30,fe9daeb3
