country,player_count
Algeria,26
Argentina,26
Australia,26
Austria,26
Belgium,26
Bosnia & Herz.,26
Brazil,26
Canada,26
Côte d'Ivoire,26
DR Congo,26
Colombia,26
Cabo Verde,26
Croatia,26
Curaçao,26
Czechia,26
Ecuador,26
Egypt,26
England,26
Spain,26
France,26
Germany,26
Ghana,26
Haiti,26
IR Iran,26
Iraq,26
Jordan,26
Japan,26
South Korea,26
Saudi Arabia,26
Morocco,26
Mexico,26
Netherlands,26
Norway,26
New Zealand,26
Panama,26
Paraguay,26
Portugal,26
Qatar,26
South Africa,26
Scotland,26
Senegal,26
Switzerland,26
Sweden,26
Tunisia,26
Türkiye,26
Uruguay,26
United States,26
Uzbekistan,26
